1000	1005	0	Glückspilz	Gewinne bei der monatlichen Metin+ Verlosung.	Schaltet diesen Titel sofort für deinen Charakter frei.	2025-08-08 10:00	0
1001	3000	0	Metin+	Verfüge über eine aktive Metin+ Mitgliedschaft.	Schaltet diesen Titel sofort für deinen Charakter frei. Die Dauer des Titels wird automatisch an den aktuellen Status deiner Metin+ Mitgliedschaft angepasst.	2025-08-08 10:00	0
1002	1003	0	Heroisch	Verfüge in deiner Metin+ Mitgliedschaft über den Rang "Heroisch" oder höher.	Schaltet diesen Titel sofort für deinen Charakter frei. Die Dauer des Titels wird automatisch an den aktuellen Status deiner Metin+ Mitgliedschaft angepasst.	2025-08-08 10:00	0
1003	1003	0	Legendär	Verfüge in deiner Metin+ Mitgliedschaft über den Rang "Legendär" oder höher.	Schaltet diesen Titel sofort für deinen Charakter frei. Die Dauer des Titels wird automatisch an den aktuellen Status deiner Metin+ Mitgliedschaft angepasst.	2025-08-08 10:00	0
1004	1003	0	Mystisch	Verfüge in deiner Metin+ Mitgliedschaft über den Rang "Mystisch".	Schaltet diesen Titel sofort für deinen Charakter frei. Die Dauer des Titels wird automatisch an den aktuellen Status deiner Metin+ Mitgliedschaft angepasst.	2025-08-08 10:00	0
1005	1000	0	Sonnenanbeter	Kann während der Sommer-Tombola 2025 gewonnen werden.	Schaltet diesen Titel sofort für deinen Charakter frei.	2025-08-01 00:00	0
1006	1002	0	Polarstern	Kann während der Winter-Tombola 2025 gewonnen werden.	Schaltet diesen Titel sofort für deinen Charakter frei.	2025-12-25 00:00	0
1007	1003	0	Nyx-Champion	Transferiere einen Charakter mit einem Charaktertransfer der Stufe I oder höher von dem Yohara-Boost-Server Nyx im Jahr 2025.	Schaltet diesen Titel sofort für deinen Charakter frei.	2026-02-04 10:00	0
1008	1003	0	Chione-Champion	Transferiere einen Charakter mit einem Charaktertransfer der Stufe I oder höher von dem Yohara-Boost-Server Chione im Jahr 2025.	Schaltet diesen Titel sofort für deinen Charakter frei.	2026-02-04 10:00	0
1009	1003	0	Lodos-Champion	Transferiere einen Charakter mit einem Charaktertransfer der Stufe I oder höher von dem Yohara-Boost-Server Lodos im Jahr 2025.	Schaltet diesen Titel sofort für deinen Charakter frei.	2026-02-04 10:00	0
1010	1003	0	Firtina-Champion	Transferiere einen Charakter mit einem Charaktertransfer der Stufe I oder höher von dem Yohara-Boost-Server Firtina im Jahr 2025.	Schaltet diesen Titel sofort für deinen Charakter frei.	2026-02-04 10:00	0
1011	1001	0	Okey-Großmeister	Erreiche 500 oder mehr Punkte in einer Okey-Runde auf dem TREASURE-Server.	Schaltet diesen Titel sofort für deinen Charakter frei.	2026-04-01 00:00	0
1012	1004	0	Münzjäger	Ergattere insgesamt 10.000 Dublonen auf dem TREASURE-Server.	Schaltet diesen Titel sofort für deinen Charakter frei.	2026-04-01 00:00	0
