1000	1005	0	Heldig	Vind i den månedlige Metin+ Lodtrækning.	Låser op for denne titel med det samme til din karakter.	2025-08-08 10:00	0
1001	3000	0	Metin+	Hav et aktivt Metin+ medlemskab.	Låser op for denne titel med det samme til din karakter. Titlens varighed bliver justeret automatisk for at matche dit Metin+ medlemskabs status.	2025-08-08 10:00	0
1002	1003	0	Heroisk	Hav den Heroiske eller højere rang i dit Metin+ medlemskab.	Låser op for denne titel med det samme til din karakter. Titlens varighed bliver justeret automatisk for at matche dit Metin+ medlemskabs status.	2025-08-08 10:00	0
1003	1003	0	Legendarisk	Hav den Legendariske eller højere rang i dit Metin+ medlemskab.	Låser op for denne titel med det samme til din karakter. Titlens varighed bliver justeret automatisk for at matche dit Metin+ medlemskabs status.	2025-08-08 10:00	0
1004	1003	0	Mytisk	Hav det Mytiske rang i dit Metin+ medlemskab.	Låser op for denne titel med det samme til din karakter. Titlens varighed bliver justeret automatisk for at matche dit Metin+ medlemskabs status.	2025-08-08 10:00	0
1005	1000	0	Sol Tilbeder	Kan vindes i løbet af Sommer Tombola 2025.	Låser op for denne titel med det samme til din karakter.	2025-08-01 00:00	0
1006	1002	0	Nordstjerne	Kan vindes i løbet af Vinter Tombola 2025.	Låser op for denne titel med det samme til din karakter.	2025-12-25 00:00	0
1007	1003	0	Nyx Mester	Overfør en karakter med en karakter overførsels level I eller højere fra 2025 Yohara Boost serveren Nyx.	Låser op for denne titel med det samme til din karakter.	2026-02-04 10:00	0
1008	1003	0	Chione Mester	Overfør en karakter med en karakter overførsels level I eller højere fra 2025 Yohara Boost serveren Chione.	Låser op for denne titel med det samme til din karakter.	2026-02-04 10:00	0
1009	1003	0	Lodos Mester	Overfør en karakter med en karakter overførsels level I eller højere fra 2025 Yohara Boost serveren Lodos.	Låser op for denne titel med det samme til din karakter.	2026-02-04 10:00	0
1010	1003	0	Firtina Mester	Overfør en karakter med en karakter overførsels level I eller højere fra 2025 Yohara Boost serveren Firtina.	Låser op for denne titel med det samme til din karakter.	2026-02-04 10:00	0
1011	1001	0	Okey Stormester	Optjen 500 eller flere point i et spil okey på TREASURE serveren.	Låser op for denne titel med det samme til din karakter.	2026-04-01 00:00	0
1012	1004	0	Mønt Jæger	Indsaml 10.000 Dubloner i alt på TREASURE serveren.	Låser op for denne titel med det samme til din karakter.	2026-04-01 00:00	0
