# Add these keys to locale_game.txt (do not overwrite the whole file):
TITLE_SYSTEM_MESSAGE_ALREADY_GET	Ya tienes este título.
TITLE_SYSTEM_MESSAGE_CHECK_UI	Título desbloqueado: %s Puedes ver los títulos en el menú de títulos.
TITLE_SYSTEM_MESSAGE_EQUIP_TITLE	Se ha equipado %s.
TITLE_SYSTEM_MESSAGE_GET_TITLE	Has obtenido: %s
TITLE_SYSTEM_MESSAGE_ONE_HOUR_LEFT	A la duración restante del título "%s" le queda aún 1 hora.
TITLE_SYSTEM_MESSAGE_TIME_END	%s ha caducado.
TITLE_SYSTEM_MESSAGE_TRY_LATER	Inténtalo de nuevo más tarde.
TITLE_SYSTEM_MESSAGE_UNEQUIP_TITLE	Has eliminado el título que tienes equipado.
TITLE_SYSTEM_MESSAGE_WRONG_APPROACH	Este título aún no está disponible o ha caducado.
TITLE_SYSTEM_MESSAGE_WRONG_ITEM	No puedes obtener este título con este certificado. Consulta la tabla.
TITLE_SYSTEM_OPEN_TITLE_UI	Abrir menú de títulos
TITLE_SYSTEM_TEXT_TITLE	Título
TITLE_SYSTEM_TOOLTIP_BACK_BUTTON	Mostrar títulos equipados
TITLE_SYSTEM_TOOLTIP_GET_CONDITION	Requisito: %s
TITLE_SYSTEM_TOOLTIP_ITEM_TIME_LEFT	Tiempo restante:
TITLE_SYSTEM_TOOLTIP_LEFT_TIME	Tiempo restante: %s
TITLE_SYSTEM_TOOLTIP_TITLE_INFINITE	Permanente
TITLE_SYSTEM_TOOLTIP_TITLE_TIME_LEFT	Duración del título:
TITLE_SYSTEM_TOOLTIP_USE_INFINITE	Puede utilizarse permanentemente.
TITLE_SYSTEM_TOOLTIP_WARNING_TIME	Este objeto no podrá utilizarse una vez haya transcurrido su duración.
TITLE_SYSTEM_USE_SCROLL_QUESTION	¿Quieres canjear el certificado?
