1000	1005	0	Afortunado	Gana en el sorteo mensual de Metin+.	Desbloquea este título de inmediato para tu personaje.	2025-08-08 10:00	0
1001	3000	0	Metin+	Ten una suscripción activa a Metin+.	Desbloquea este título de inmediato para tu personaje. La duración de este título se adaptará automáticamente al estado actual de tu suscripción a Metin+.	2025-08-08 10:00	0
1002	1003	0	Heroico	En tu suscripción a Metin+, ten el rango "Heroico" o uno superior.	Desbloquea este título de inmediato para tu personaje. La duración de este título se adaptará automáticamente al estado actual de tu suscripción a Metin+.	2025-08-08 10:00	0
1003	1003	0	Legendario	En tu suscripción a Metin+, ten el rango "Legendario" o uno superior.	Desbloquea este título de inmediato para tu personaje. La duración de este título se adaptará automáticamente al estado actual de tu suscripción a Metin+.	2025-08-08 10:00	0
1004	1003	0	Místico	En tu suscripción a Metin+, ten el rango "Místico" o uno superior.	Desbloquea este título de inmediato para tu personaje. La duración de este título se adaptará automáticamente al estado actual de tu suscripción a Metin+.	2025-08-08 10:00	0
1005	1000	0	Adorador del sol	Se puede ganar durante la tómbola de verano de 2025.	Desbloquea este título de inmediato para tu personaje.	2025-08-01 00:00	0
1006	1002	0	Estrella polar	Se puede ganar durante la tómbola de invierno de 2025.	Desbloquea este título de inmediato para tu personaje.	2025-12-25 00:00	0
1007	1003	0	Campeón de Nyx	Traslada un personaje con un traslado de personaje de nivel I o superior desde el servidor con potenciador para Yohara Nyx en el año 2025.	Desbloquea este título de inmediato para tu personaje.	2026-02-04 10:00	0
1008	1003	0	Campeón de Chione	Traslada un personaje con un traslado de personaje de nivel I o superior desde el servidor con potenciador para Yohara Chione en el año 2025.	Desbloquea este título de inmediato para tu personaje.	2026-02-04 10:00	0
1009	1003	0	Campeón de Lodos	Traslada un personaje con un traslado de personaje de nivel I o superior desde el servidor con potenciador para Yohara Lodos en el año 2025.	Desbloquea este título de inmediato para tu personaje.	2026-02-04 10:00	0
1010	1003	0	Campeón de Firtina	Traslada un personaje con un traslado de personaje de nivel I o superior desde el servidor con potenciador para Yohara Firtina en el año 2025.	Desbloquea este título de inmediato para tu personaje.	2026-02-04 10:00	0
1011	1001	0	Gran maestro de Okey	Consigue 500 o más puntos en una ronda Okey en el servidor TREASURE.	Desbloquea este título de inmediato para tu personaje.	2026-04-01 00:00	0
1012	1004	0	Cazamonedas	Consigue un total de 10 000 doblones en el servidor TREASURE.	Desbloquea este título de inmediato para tu personaje.	2026-04-01 00:00	0
