1000	1005	0	Fortunello	Vincere all'estrazione mensile di Metin+.	Sblocca immediatamente questo titolo per il tuo personaggio.	2025-08-08 10:00	0
1001	3000	0	Metin+	Avere un abbonamento attivo a Metin+.	Sblocca immediatamente questo titolo per il tuo personaggio. La durata del titolo si adatta automaticamente allo stato attuale del tuo abbonamento a Metin+.	2025-08-08 10:00	0
1002	1003	0	Eroico	Avere il grado "Eroico" o superiore nel proprio abbonamento a Metin+.	Sblocca immediatamente questo titolo per il tuo personaggio. La durata del titolo si adatta automaticamente allo stato attuale del tuo abbonamento a Metin+.	2025-08-08 10:00	0
1003	1003	0	Leggendario	Avere il grado "Leggendario" o superiore nel proprio abbonamento a Metin+.	Sblocca immediatamente questo titolo per il tuo personaggio. La durata del titolo si adatta automaticamente allo stato attuale del tuo abbonamento a Metin+.	2025-08-08 10:00	0
1004	1003	0	Mistico	Avere il grado "Mistico" o superiore nel proprio abbonamento a Metin+.	Sblocca immediatamente questo titolo per il tuo personaggio. La durata del titolo si adatta automaticamente allo stato attuale del tuo abbonamento a Metin+.	2025-08-08 10:00	0
1005	1000	0	Adoratore del sole	Si può vincere durante la Tombola estiva 2025.	Sblocca immediatamente questo titolo per il tuo personaggio.	2025-08-01 00:00	0
1006	1002	0	Stella Polaris	Si può vincere durante la Tombola invernale 2025.	Sblocca immediatamente questo titolo per il tuo personaggio.	2025-12-25 00:00	0
1007	1003	0	Campione di Nyx	Trasferisci un personaggio con un Transfer dei personaggi di livello I o superiore dal Server Boost Yohara Nyx nel 2025.	Sblocca immediatamente questo titolo per il tuo personaggio.	2026-02-04 10:00	0
1008	1003	0	Campione di Chione	Trasferisci un personaggio con un Transfer dei personaggi di livello I o superiore dal Server Boost Yohara Chione nel 2025.	Sblocca immediatamente questo titolo per il tuo personaggio.	2026-02-04 10:00	0
1009	1003	0	Campione do Lodos	Trasferisci un personaggio con un Transfer dei personaggi di livello I o superiore dal Server Boost Yohara Lodos nel 2025.	Sblocca immediatamente questo titolo per il tuo personaggio.	2026-02-04 10:00	0
1010	1003	0	Campione di Firtina	Trasferisci un personaggio con un Transfer dei personaggi di livello I o superiore dal Server Boost Yohara Firtina nel 2025.	Sblocca immediatamente questo titolo per il tuo personaggio.	2026-02-04 10:00	0
1011	1001	0	Gran Maestro di Okey	Ottieni almeno 500 punti in un turno di Okey sul server TREASURE.	Sblocca immediatamente questo titolo per il tuo personaggio.	2026-04-01 00:00	0
1012	1004	0	Cacciatore di monete	Ottieni un totale di 10.000 dobloni sul server TREASURE.	Sblocca immediatamente questo titolo per il tuo personaggio.	2026-04-01 00:00	0
