1000	1005	0	Sortudo(a)	Sê um dos jogadores premiados no sorteio mensal do Metin+.	Desbloqueia imediatamente este título para a tua personagem.	2025-08-08 10:00	0
1001	3000	0	Metin+	Mantém uma subscrição Metin+ ativa.	Desbloqueia imediatamente este título para a tua personagem. A duração deste título é ajustada automaticamente ao estado da tua subscrição Metin+.	2025-08-08 10:00	0
1002	1003	0	Heróico(a)	Alcança a posição Heróico (ou superior) na tua subscrição Metin+.	Desbloqueia imediatamente este título para a tua personagem. A duração deste título é ajustada automaticamente ao estado da tua subscrição Metin+.	2025-08-08 10:00	0
1003	1003	0	Lendário(a)	Alcança a posição Lendário (ou superior) na tua subscrição Metin+.	Desbloqueia imediatamente este título para a tua personagem. A duração deste título é ajustada automaticamente ao estado da tua subscrição Metin+.	2025-08-08 10:00	0
1004	1003	0	Mítico(a)	Alcança a posição Mítico(a) na tua subscrição Metin+.	Desbloqueia imediatamente este título para a tua personagem. A duração deste título é ajustada automaticamente ao estado da tua subscrição Metin+.	2025-08-08 10:00	0
1005	1000	0	Louva-Sol	Pode ser obtido durante a Tômbola de Verão 2025.	Desbloqueia imediatamente este título para a tua personagem.	2025-08-01 00:00	0
1006	1002	0	Estrela Polar	Podes obtê-lo durante a Tômbola de Inverno 2025.	Desbloqueia imediatamente este título para a tua personagem.	2025-12-25 00:00	0
1007	1003	0	Campeã(o) do Nyx	Transfere uma personagem com uma Transferência de Personagem nível I ou superior do servidor Reforço para Yohara de 2025: Nyx.	Desbloqueia imediatamente este título para a tua personagem.	2026-02-04 10:00	0
1008	1003	0	Campeã(o) do Chione	Transfere uma personagem com uma Transferência de Personagem nível I ou superior do servidor Reforço para Yohara de 2025: Chione.	Desbloqueia imediatamente este título para a tua personagem.	2026-02-04 10:00	0
1009	1003	0	Campeã(o) do Lodos	Transfere uma personagem com uma Transferência de Personagem nível I ou superior do servidor Reforço para Yohara de 2025: Lodos.	Desbloqueia imediatamente este título para a tua personagem.	2026-02-04 10:00	0
1010	1003	0	Campeã(o) do Firtina	Transfere uma personagem com uma Transferência de Personagem nível I ou superior do servidor Reforço para Yohara de 2025: Firtina.	Desbloqueia imediatamente este título para a tua personagem.	2026-02-04 10:00	0
1011	1001	0	Grande Mestre do Okey	Obtém 500 pontos ou mais num jogo de Okey no servidor TREASURE.	Desbloqueia imediatamente este título para a tua personagem.	2026-04-01 00:00	0
1012	1004	0	Caça-Moedas	Recolhe um total de 10.000 Dobrões em Caças ao Tesouro no servidor TREASURE.	Desbloqueia imediatamente este título para a tua personagem.	2026-04-01 00:00	0
