1000	1005	0	Norocos	Câºtigã la tombola lunarã Metin+.	Deblocheazã imediat acest titlu pentru caracterul tãu.	2025-08-08 10:00	0
1001	3000	0	Metin+	Ai un abonament Metin+ activ.	Deblocheazã imediat acest titlu pentru caracterul tãu. Durata titlului este ajustatã automat în funcşie de statutul abonamentului tãu Metin+.	2025-08-08 10:00	0
1002	1003	0	Eroic	Deşine rangul Eroic sau superior în abonamentul tãu Metin+.	Deblocheazã imediat acest titlu pentru caracterul tãu. Durata titlului este ajustatã automat în funcşie de statutul abonamentului tãu Metin+.	2025-08-08 10:00	0
1003	1003	0	Legendar	Deşine rangul Legendar sau superior în abonamentul tãu Metin+.	Deblocheazã imediat acest titlu pentru caracterul tãu. Durata titlului este ajustatã automat în funcşie de statutul abonamentului tãu Metin+.	2025-08-08 10:00	0
1004	1003	0	Mitic	Deşine rangul Mitic în abonamentul tãu Metin+.	Deblocheazã imediat acest titlu pentru caracterul tãu. Durata titlului este ajustatã automat în funcşie de statutul abonamentului tãu Metin+.	2025-08-08 10:00	0
1005	1000	0	Preferatul Soarelui	Câºtigã-l la Tombola de Varã 2025.	Deblocheazã imediat acest titlu pentru caracterul tãu.	2025-08-01 00:00	0
1006	1002	0	Steaua Nordului	Se poate câºtiga în timpul Tombolei de Iarnã 2025.	Deblocheazã imediat acest titlu pentru caracterul tãu.	2025-12-25 00:00	0
1007	1003	0	Campion Nyx	Transferã un caracter cu nivel de transfer al caracterului I sau mai mare de pe serverul Nyx, Ajutor Yohara 2025.	Deblocheazã imediat acest titlu pentru caracterul tãu.	2026-02-04 10:00	0
1008	1003	0	Campion Chione	Transferã un caracter cu nivel de transfer al caracterului I sau mai mare de pe serverul Chione, Ajutor Yohara 2025.	Deblocheazã imediat acest titlu pentru caracterul tãu.	2026-02-04 10:00	0
1009	1003	0	Campion Lodos	Transferã un caracter cu nivel de transfer al caracterului I sau mai mare de pe serverul Lodos, Ajutor Yohara 2025.	Deblocheazã imediat acest titlu pentru caracterul tãu.	2026-02-04 10:00	0
1010	1003	0	Campion Firtina	Transferã un caracter cu nivel de transfer al caracterului I sau mai mare de pe serverul Firtina, Ajutor Yohara 2025.	Deblocheazã imediat acest titlu pentru caracterul tãu.	2026-02-04 10:00	0
1011	1001	0	Mare Maestru Okey	Obşine 500 sau mai multe puncte într-un joc de Okey pe serverul TREASURE.	Deblocheazã imediat acest titlu pentru caracterul tãu.	2026-04-01 00:00	0
1012	1004	0	Vânãtor de Monede	Colecteazã un total de 10.000 de dubloni pe serverul TREASURE.	Deblocheazã imediat acest titlu pentru caracterul tãu.	2026-04-01 00:00	0
