1000	1005	0	Âåçóí÷èê	Âûèãğûâàéòå â åæåìåñÿ÷íîì ğîçûãğûøå Metin+.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà.	2025-08-08 10:00	0
1001	3000	0	Metin+	Ïîëó÷èòå çà àêòèâíóş ïîäïèñêó Metin+.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà. Äëèòåëüíîñòü äåéñòâèÿ òèòóëà ïîäñòğàèâàåòñÿ ïîä òåêóùèé ñòàòóñ âàøåé ïîäïèñêè Metin+.	2025-08-08 10:00	0
1002	1003	0	Ãåğîè÷åñêèé	Ïîëó÷èòå çà ğàíã ïîäïèñêè Metin+ «Ãåğîè÷åñêèé» èëè âûøå.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà. Äëèòåëüíîñòü äåéñòâèÿ òèòóëà ïîäñòğàèâàåòñÿ ïîä òåêóùèé ñòàòóñ âàøåé ïîäïèñêè Metin+.	2025-08-08 10:00	0
1003	1003	0	Ëåãåíäàğíûé	Ïîëó÷èòå çà ğàíã ïîäïèñêè Metin+ «Ëåãåíäàğíûé» èëè âûøå.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà. Äëèòåëüíîñòü äåéñòâèÿ òèòóëà ïîäñòğàèâàåòñÿ ïîä òåêóùèé ñòàòóñ âàøåé ïîäïèñêè Metin+.	2025-08-08 10:00	0
1004	1003	0	Ìèñòè÷åñêèé	Ïîëó÷èòå çà ğàíã ïîäïèñêè Metin+ «Ìèñòè÷åñêèé» èëè âûøå.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà. Äëèòåëüíîñòü äåéñòâèÿ òèòóëà ïîäñòğàèâàåòñÿ ïîä òåêóùèé ñòàòóñ âàøåé ïîäïèñêè Metin+.	2025-08-08 10:00	0
1005	1000	0	Ñîëíöåïîêëîííèê	Ìîæíî âûèãğàòü ïî õîäó ëåòíåé ëîòåğåè 2025 ãîäà.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà.	2025-08-01 00:00	0
1006	1002	0	Ïîëÿğíàÿ çâåçäà	Ìîæíî âûèãğàòü ïî õîäó çèìíåé ëîòåğåè 2025 ãîäà.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà.	2025-12-25 00:00	0
1007	1003	0	×åìïèîí Nyx	Ïåğåíåñèòå ïåğñîíàæà ñ ïîìîùüş Ïåğåíîñà ïåğñîíàæåé I ñòóïåíè èëè âûøå ñ Yohara-Boost-ñåğâåğà Nyx â 2025 ã.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà.	2026-02-04 10:00	0
1008	1003	0	×åìïèîí Chione	Ïåğåíåñèòå ïåğñîíàæà ñ ïîìîùüş Ïåğåíîñà ïåğñîíàæåé I ñòóïåíè èëè âûøå ñ Yohara-Boost-ñåğâåğà Chione â 2025 ã.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà.	2026-02-04 10:00	0
1009	1003	0	×åìïèîí Lodos	Ïåğåíåñèòå ïåğñîíàæà ñ ïîìîùüş Ïåğåíîñà ïåğñîíàæåé I ñòóïåíè èëè âûøå ñ Yohara-Boost-ñåğâåğà Lodos â 2025 ã.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà.	2026-02-04 10:00	0
1010	1003	0	×åìïèîí Firtina	Ïåğåíåñèòå ïåğñîíàæà ñ ïîìîùüş Ïåğåíîñà ïåğñîíàæåé I ñòóïåíè èëè âûøå ñ Yohara-Boost-ñåğâåğà Firtina â 2025 ã.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà.	2026-02-04 10:00	0
1011	1001	0	Ãğîññìåéñòåğ «Îêåé»	Íàáåğèòå 500 èëè áîëüøå î÷êîâ â îäíîé èãğå â «Îêåé» íà TREASURE-ñåğâåğå.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà.	2026-04-01 00:00	0
1012	1004	0	Îõîòíèê íà ìîíåòû	Ñîáåğèòå 10 000 äóáëîíîâ íà TREASURE-ñåğâåğå.	Ñğàçó îòêğûâàåò ıòîò òèòóë äëÿ âàøåãî ïåğñîíàæà.	2026-04-01 00:00	0
