1000	1005	0	Şanslı	Aylık Metin+ çekilişinde kazan	Bu ünvanın kilidini karakterin için anında açar.	2025-08-08 10:00	0
1001	3000	0	Metin+	Aktif bir Metin+ üyeliğine sahip ol.	Bu ünvanın kilidini karakterin için anında açar. Ünvanın süresi, Metin+ üyeliğinin güncel durumuna göre otomatik olarak ayarlanacaktır.	2025-08-08 10:00	0
1002	1003	0	Destansı	Metin+ üyeliğinde "Destansı" veya daha yüksek rütbeye sahip ol.	Bu ünvanın kilidini karakterin için anında açar. Ünvanın süresi, Metin+ üyeliğinin güncel durumuna göre otomatik olarak ayarlanacaktır.	2025-08-08 10:00	0
1003	1003	0	Efsanevi	Metin+ üyeliğinde "Efsanevi" veya daha yüksek rütbeye sahip ol.	Bu ünvanın kilidini karakterin için anında açar. Ünvanın süresi, Metin+ üyeliğinin güncel durumuna göre otomatik olarak ayarlanacaktır.	2025-08-08 10:00	0
1004	1003	0	Mistik	Metin+ üyeliğinde "Mistik" veya daha yüksek rütbeye sahip ol.	Bu ünvanın kilidini karakterin için anında açar. Ünvanın süresi, Metin+ üyeliğinin güncel durumuna göre otomatik olarak ayarlanacaktır.	2025-08-08 10:00	0
1005	1000	0	Güneşsever	2025 Yaz Tombalası'nda kazanılabilir.	Bu ünvanın kilidini karakterin için anında açar.	2025-08-01 00:00	0
1006	1002	0	Kutup Yıldızı	2025 Kış Tombalası'nda kazanılabilir.	Bu ünvanın kilidini karakterin için anında açar.	2025-12-25 00:00	0
1007	1003	0	Nyx Şampiyonu	2025 yılında Yohara Güçlendirme Sunucusu Nyx'ten Seviye I veya üzeri bir karakter transferi gerçekleştir.	Bu ünvanın kilidini karakterin için anında açar.	2026-02-04 10:00	0
1008	1003	0	Chione Şampiyonu	2025 yılında Yohara Güçlendirme Sunucusu Chione'den Seviye I veya üzeri bir karakter transferi gerçekleştir.	Bu ünvanın kilidini karakterin için anında açar.	2026-02-04 10:00	0
1009	1003	0	Lodos Şampiyonu	2025 yılında Yohara Güçlendirme Sunucusu Lodos'tan Seviye I veya üzeri bir karakter transferi gerçekleştir.	Bu ünvanın kilidini karakterin için anında açar.	2026-02-04 10:00	0
1010	1003	0	Fırtına Şampiyonu	2025 yılında Yohara Güçlendirme Sunucusu Fırtına'dan Seviye I veya üzeri bir karakter transferi gerçekleştir.	Bu ünvanın kilidini karakterin için anında açar.	2026-02-04 10:00	0
1011	1001	0	Okey Büyük Üstadı	TREASURE sunucusunda bir Okey turunda 500 veya daha fazla puan kazan.	Bu ünvanın kilidini karakterin için anında açar.	2026-04-01 00:00	0
1012	1004	0	Jeton Avcısı	TREASURE sunucusunda toplam 10.000 Dublon topla.	Bu ünvanın kilidini karakterin için anında açar.	2026-04-01 00:00	0
