ACCE_ABSORB_COST	ÊßÇáíİ ÇáÏãÌ: %d
ACCE_ALREADY_REGISTER	Êã ÇÓÊÚãÇá åĞÇ ÇáÈäÏ ãä ŞÈá.
ACCE_DEL_ABSORDITEM	åá ÊÑíÏ ÇÓÊíÚÇÈ ÇáÔíÁ æÈÇáÊÇáí ÊÏãíÑå¿
ACCE_DEL_SERVEITEM	ÅĞÇ ãÇ İÔáÊ ÚãáíÉ ÇáãÒÌ¡ İÅä ÇáæÔÇÍ 2 ÓíÏãøÑ.
ACCE_DEL_SERVEITEM2	ÓíÏãøÑ ÇáæÔÇÍ 2 ÅĞÇ ãÇ İÔáÊ ÚãáíÉ ÇáãÒÌ.
ACCE_INITEM	ÇÓÍÈ ÇáÃÔíÇÁ äÍæ ÇáäÇİĞÉ.
ACCE_MAXGRADE	Åä åĞÇ ÇáæÔÇÍ ãõİÕøá.
ACCE_MAX_DRAINRATE	ŞíãÉ ÇáÇÓÊíÚÇÈ ÇáŞÕæì
ACCE_NOTABSORBITEM	áÇ íãßäß ÇÓÊÚãÇá ÃÓáÍÉ Ãæ ÏÑæÚ ÇÓÊæÚÈÊ ãä ŞÈá.
ACCE_NOT_SEALITEM	áÇ íãßäß ÇÓÊÚãÇá ÈäÏ ãõÑÊÈØ ÈÇáÑæÍ.
ACCE_NOT_USINGITEM	áÇ íãßäß ãÒÌ ÈõäÏ ãõÒæøÏ.
ACCE_NOT_WINDOWOPEN	áÇ íãßäß ÇÓÊÚãÇá ÇáÈäÏ¡ ØÇáãÇ Ãä äÇİĞÉ ÇáãÒÌ ãİÊæÍÉ.
ACCE_POSSIBLE_ACCE	áÇ íãßäß ÇÓÊÚãÇá ÔíÁ ÂÎÑ ÛíÑ ÇáÃæÔÍÉ.
ACCE_POSSIBLE_ACCEITEM	áÇ íãßäß ÇÓÊÎÑÇÌ ÇáÚáÇæÇÊ ãä ÃÔíÇÁ ÃÎÑì ÛíÑ ÇáÃÓáÍÉ æÇáÏÑæÚ.
AFF_LOVE_POINT	äŞÇØ ÇáÍÈ: %d%%
ALIGNMENT_NAME	äŞÇØ ÇáÊÑÊíÈ:
ATTACK_ERROR_UNKNOWN	ÎØÃ åÌæãí ãÌåæá:  %s
ATTENDANCE_REWARD_QUESTION	åá ÊÑÛÈ İí ÇáÍÕæá Úáì ãßÇİÃÊß ÇáÂä¿
ATTR_6TH_7TH_ADD_QUESTION1	áÇ íãßäß ÇÓÊÎÏÇã åĞÇ ÇáÈäÏ ÃËäÇÁ ÅÖÇİÉ ÚáÇæÉ.
ATTR_6TH_7TH_ADD_QUESTION2	åá ÃäÊ ãÊÃßÏ Ãäß ÊÑíÏ ÅÖÇİÉ ÇáÚáÇæÉ¿
ATTR_6TH_7TH_CHANGE_FAIL	áÇ íãßäß ÊÛííÑ ÇáÚáÇæÉ.
ATTR_6TH_7TH_DESC1	Ã. íÌÈ Úáíß æÖÚ ÇáãæÇÏ ÇááÇÒãÉ áÅÖÇİÉ ÇáÚáÇæÉ 6 æ 7.
ATTR_6TH_7TH_DESC2	È. ÓÊÑİÚ ßá ÔÙíÉ ãÚÏá ÇáäÌÇÍ ÈäÓÈÉ 2%.
ATTR_6TH_7TH_DESC3	Ì. ÅÓÊÎÏã ÅÖÇİÇÊ áÒíÇÏÉ ãÚÏá ÇáäÌÇÍ.
ATTR_6TH_7TH_DESC4	Ï. ÓÊÍÊÇÌ ÚãáíÉ ÅÖÇİÉ ÇáÚáÇæÉ Åáì 24 ÓÇÚÉ. ÓíÍÊİÙ áÇÚÈ ÇáÍÇÓæÈ ÈÇáÈäÏ ÇáãÑÇÏ ÅÖÇİÉ ÇáÚáÇæÉ Åáíå. ÈãÌÑÏ ÅßÊãÇá ÇáÚãáíÉ¡ Óãßäß ÅÓÊÚÇÏÉ ÇáÈäÏ ãÌÏÏÇ.
ATTR_6TH_7TH_POSSIBILITY	íãßäß ÅÖÇİÉ ÚáÇæÉ ÅÖÇİíÉ.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	İõÑÕÉ ÇáäÌÇÍ: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	áÇ íãßä ÊÛííÑ ÇáŞíã ÇáÎÇÕÉ ÈÇáÈäæÏ ÇáãÑÈæØÉ ÈÇáÑæÍ.
AURA_CLEAR_QUESTION_WHEN_USE	åá ÊÑíÏ ÅÒÇáÉ ÇáŞíã ÇáãÓÌáÉ¿ áÇ íãßä ÇÓÊÚÇÏÊåÇ ÈÚÏ Ğáß.
AURA_DRAIN_PER	ŞíãÉ ÇáÇÓÊíÚÇÈ %.1f%%
AURA_EVOLUTION_GOLD	[åÇáÉ] áíÓ áÏíß íÇäÛ ßÇİò ááÊØæíÑ.
AURA_IMPOSSIBLE_ABSORBITEM	[åÇáÉ] áÇ íãßä äŞá ÇáãÒíÏ ãä ÇáÚáÇæÇÊ.
AURA_IMPOSSIBLE_EQUIPITEM	[åÇáÉ] áÇ íãßä äŞá ÇáÈäÏ ÇáãÌåÒ.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[åÇáÉ] áÇ íãßä ÊØæíÑå.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[åÇáÉ] ÚÏÏ ÇáÈäæÏ ÛíÑ ßÇİ ááÊØæíÑ.
AURA_IMPOSSIBLE_GROWTHITEM	[åÇáÉ] áÇ íãßä ÊÍÓíäå.
AURA_IMPOSSIBLE_REFINEITEM	[åÇáÉ] íãßäß ÇÓÊÎÏÇã ãáÇÈÓ ÇáåÇáÉ¡ ÊÑÓ¡ ŞáÇÏÉ¡ ÍáŞ ÓæÇÑ İŞØ.
AURA_IMPOSSIBLE_SEALITEM	[åÇáÉ] áÇ íãßäß äŞá ÇáÈäæÏ ÇáãÑÈæØÉ ÈÇáÑæÍ.
AURA_ITEM_NEED_REGISTER	[åÇáÉ] íÌÈ ÅÏÑÇÌ ÇáÈäæÏ.
AURA_LEVEL_STEP	ÇáãÓÊæì %d (ÇáÑÊÈÉ %d)
AURA_MAX_LEVEL	[åÇáÉ] áŞÏ æÕáÊ ãáÇÈÓ ÇáåÇáÉ Åáì ÇáãÓÊæì ÇáÃŞÕì.
AURA_NOTICE_DEL_ABSORDITEM	[åÇáÉ] áŞÏ Êã ÊÏãíÑ ÇáÈäÏ ÇáãäŞæá.
AURA_OPEN_OTHER_WINDOW	áÇ íãßäß ÇáŞíÇã ÈĞáß Åä ßÇäÊ äÇİĞÉ ÇáÊÍÓíä Ãæ ÇáÊØæíÑ Ãæ äŞá ÇáÅÍÕÇÆíÇÊ ãİÊæÍÉ.
AURA_POSSIBLE_AURAITEM	[åÇáÉ] íãßä İŞØ áãáÇÈÓ ÇáåÇáÉ.
AURA_POSSIBLE_REGISTER_AURAITEM	[åÇáÉ] íÌÈ ÅÏÑÇÌ ãáÇÈÓ ÇáåÇáÉ ÃæáÇ.
AURA_TITLE_ABSORB	äŞá Şíã Çáì ãáÇÈÓ ÇáåÇáÉ
AURA_TITLE_EVOLUTION	ÊØæíÑ ãáÇÈÓ ÇáåÇáÉ
AURA_TITLE_GROWTH	ÊÍÓíä ãáÇÈÓ ÇáåÇáÉ
AURA_TOOLTIP_EXP	ÎÈÑÉ (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	ÇáãÓÊæì %d (ÇáÑÊÈÉ %d) (ŞíãÉ ÇáÇÓÊíÚÇÈ %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s íÇäÛ
AURA_TOOLTIP_NEXT	ÌÏíÏ
AURA_TOOLTIP_NOW	ÍÇáí
AURA_TOOLTIP_RESOURCE	ÃÔíÇÁ ÇÓÊåáÇßíÉ
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	áÇ íãßäß ÅäÔÇÁ åĞÇ ÃËäÇÁ äÔÇØ ÇáÕíÏ ÇáÊáŞÇÆí.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	ÃËäÇÁ ÊÌåíÒ åĞÇ ÇáÈäÏ¡ áÇ íãßäß ÇÓÊÎÏÇã ÇáÕíÏ ÇáÊáŞÇÆí.
AUTO_HUNTING_OPTION_BOSS	ÒÚíã
AUTO_HUNTING_OPTION_KING	ãÑÊÈÉ 5
AUTO_HUNTING_OPTION_KNIGHT	ãÑÊÈÉ 3
AUTO_HUNTING_OPTION_PAWN	ãÑÊÈÉ 1
AUTO_HUNTING_OPTION_STONE	ÍÌÑ ÇáãÇÊíä
AUTO_HUNTING_OPTION_S_KNIGHT	ãÑÊÈÉ 4
AUTO_HUNTING_OPTION_S_PAWN	ãÑÊÈÉ 2
AUTO_TOOLTIP_CLEAR	ÅÚÇÏÉ
AUTO_TOOLTIP_LINE1	ãåÇÑÇÊ: ÇÎÊÑ ÅÍÏì ÇáãåÇÑÇÊ æÖÚåÇ İí ÇáİÊÍÇÊ ÇáãõÎÕÕÉ áĞáß. (ÍÓÇÈ ããÊÇÒ)
AUTO_TOOLTIP_LINE2	ÊäÈíå: íãßäß ÊÚÏíá ÇáãÏÉ ÇáÒãäíÉ (ÈÇáËæÇäí) áßá ãåÇÑÉ ãä ÇáãåÇÑÇÊ.
AUTO_TOOLTIP_LINE3	ÌÑÚÇÊ: ÇÎÊÑ ÅÍÏì ÇáÌÑÚÇÊ æÖÚåÇ İí ÇáİÊÍÇÊ ÇáãõÎÕÕÉ áĞáß. (ÍÓÇÈ ããÊÇÒ)
AUTO_TOOLTIP_LINE4	ÊäÈíå: ÓíÊã ÊİÚíá ÌÑÚÇÊ ÇáÍíÇÉ æÇáÃÓáæÈ ÈãõÌÑÏ åÈæØ ŞíãÊåÇ ÊÍÊ ÇáŞíãÉ ÇáãÆæíÉ ÇáãõÏÑÌÉ.
AUTO_TOOLTIP_LINE5	ãáÇÍÙÉ: íãßä ÊİÚíá ÇáÇÓÊÎÏÇã ÇáÊáŞÇÆí ááãåÇÑÇÊ æÇáÌÑÚÇÊ æÇáÅÍíÇÁ İí ãÊÌÑ ÇááÚÈÉ.
AUTO_TOOLTIP_LINE6	5. ÓíÊã ÇÓÊÎÏÇã ÇáÌÑÚÇÊ ÇáÈäæÏ ÇáÊí Êã ÊÍÏíÏåÇ ÊáŞÇÆíğÇ ÈÚÏ ÇäÊåÇÁ ÕáÇÍíÉ ÇáÊÚÒíÒ¡ ãÚ ÚÏã ÚÑÖ ÇáãÏÉ ÇáãÊÈŞíÉ.
AUTO_TOOLTIP_LINE7	6. ÈÇÓÊÎÏÇã ÇáÓåã ÇáãæÌæÏ ÈÌæÇÑ "ÇáåÌæã"¡ íãßäß ÊÍÏíÏ ãÏì ŞæÉ ÇáæÍæÔ ÇáÊí ÊåÇÌãåÇ (+/- ãÓÊæì áãÓÊæÇß).
AUTO_TOOLTIP_LINE8	7. íãßäß ÇÓÊÎÏÇã ÇáÓåã ÇáãæÌæÏ ÈÌæÇÑ "ÇáÊÑßíÒ" áÊÍÏíÏ ÇáãÓÇİÉ ÇáÊí ÊÑíÏ ãåÇÌãÉ ÇáæÍæÔ ÈåÇ.
AUTO_TOOLTIP_TITLE	ãÓÇÚÏÉ ÇáÕíÏ ÇáÊáŞÇÆí
BATTLE_MAP_NAME_AREA_1	ãäØŞÉ 1
BATTLE_MAP_NAME_AREA_2	ãäØŞÉ 2
BATTLE_MAP_NAME_AREA_3	ãäØŞÉ 3
BATTLE_MAP_NAME_AREA_4	ãäØŞÉ 4
BATTLE_MAP_NAME_AREA_5	ãäØŞÉ 5
BATTLE_MAP_NAME_AREA_6	ãäØŞÉ 6
BATTLE_MAP_NAME_AREA_7	ãäØŞÉ 7
BATTLE_MAP_NAME_AREA_8	ãäØŞÉ 8
BATTLE_MAP_NAME_AREA_9	ãäØŞÉ 9
BATTLE_POINT	äŞÇØ ÇáãÚÑßÉ
BATTLE_ROYALE_ALIVE_COUNT	ÇáäÇÌæä: %d
BATTLE_ROYALE_APPLICATION_TITLE	ÈÇÊá ÑæíÇá
BATTLE_ROYALE_CANNOT_OPEN_MALL	áÇ íãßäß İÊÍ åĞÇ åäÇ.
BATTLE_ROYALE_KILL_COUNT	åÒã ÇáÎÕã: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	ãÔÇÑßÉ
BATTLE_ROYALE_MAINBUTTON_CANCEL	ÅáÛÇÁ
BATTLE_ROYALE_MAINBUTTON_EXIT	ÎÑæÌ
BATTLE_ROYALE_MAINBUTTON_STARTABLE	ÇÈÏÃ
