ACCE_ABSORB_COST	Kombinationskosten: %d
ACCE_ALREADY_REGISTER	Dieser Gegenstand wurde bereits verwendet.
ACCE_DEL_ABSORDITEM	Gegenstand aufnehmen und damit zerstören?
ACCE_DEL_SERVEITEM	Band 2 wird zerstört, wenn die Kombination fehlschlägt.
ACCE_DEL_SERVEITEM2	Band 2 wird zerstört, wenn die Kombination fehlschlägt.
ACCE_INITEM	Ziehe die Gegenstände auf das Fenster.
ACCE_MAXGRADE	Dies ist bereits maßgefertigt.
ACCE_MAX_DRAINRATE	Maximale Aufnahmerate
ACCE_NOTABSORBITEM	Du kannst keine Waffe/Rüstung benutzen, die bereits aufgenommen wurde.
ACCE_NOT_SEALITEM	Du kannst keinen seelengebundenen Gegenstand verwenden.
ACCE_NOT_USINGITEM	Ein ausgerüsteter Gegenstand kann nicht kombiniert werden.
ACCE_NOT_WINDOWOPEN	Du kannst den Gegenstand nicht verwenden, wenn das Fenster für die Kombination geöffnet ist.
ACCE_POSSIBLE_ACCE	Du kannst nur Schulterbänder benutzen.
ACCE_POSSIBLE_ACCEITEM	Du kannst Boni nur aus Waffen und Rüstungen extrahieren.
AFF_LOVE_POINT	Liebespunkte: %d%%
ALIGNMENT_NAME	Rangpunkte:
ATTACK_ERROR_UNKNOWN	Unbekannter Angriffsfehler: %s
ATTENDANCE_REWARD_QUESTION	Möchtest du deine Belohnung erhalten?
ATTR_6TH_7TH_ADD_QUESTION1	Du kannst diesen Gegenstand nicht verwenden, während ein Bonus hinzugefügt wird.
ATTR_6TH_7TH_ADD_QUESTION2	Möchtest du den Bonus wirklich hinzufügen?
ATTR_6TH_7TH_CHANGE_FAIL	Du kannst den Bonus nicht ändern.
ATTR_6TH_7TH_DESC1	a. Du musst die Materialien einfügen, die für den Gegenstand benötigt werden, um den 6. und 7. Bonus hinzuzufügen.
ATTR_6TH_7TH_DESC2	b. Jedes Fragment steigert die Erfolgsquote um 2%.
ATTR_6TH_7TH_DESC3	c. Verwende eine Ergänzung, um die Erfolgsquote zusätzlich zu steigern.
ATTR_6TH_7TH_DESC4	d. Es dauert 24 Stunden, den Bonus hinzuzufügen. Der NPC behält den Gegenstand, für den der Bonus hinzugefügt werden soll. Sobald der Prozess abgeschlossen ist, kannst du ihn dir wieder abholen.
ATTR_6TH_7TH_POSSIBILITY	Du kannst einen zusätzlichen Bonus hinzufügen.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Erfolgswahrscheinlichkeit: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	Die Werte eines seelengebundenen Gegenstands können nicht verändert werden.
AURA_CLEAR_QUESTION_WHEN_USE	Möchtest du die aufgenommenen Werte entfernen? Sie können nicht wiederhergestellt werden.
AURA_DRAIN_PER	Aufnahmerate %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Nicht genug Yang, um zu entwickeln.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Es können keine weiteren Boni übertragen werden.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Ausgerüstete Gegenstände können nicht übertragen werden.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Kann nicht entwickelt werden.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Anzahl der Gegenstände reicht nicht aus, um zu entwickeln.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Kann nicht verbessert werden.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Nur Auragewand, Schild, Halskette, Ohrring und Armband sind möglich.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Seelengebundene Gegenstände können nicht übertragen werden.
