ACCE_ABSORB_COST	Combination costs: %d
ACCE_ALREADY_REGISTER	This item has already been used.
ACCE_DEL_ABSORDITEM	Absorb item, destroying it in the process?
ACCE_DEL_SERVEITEM	Sash 2 will be destroyed should the combination fail.
ACCE_DEL_SERVEITEM2	Sash 2 will be destroyed should the combination fail.
ACCE_INITEM	Drag the items into the window.
ACCE_MAXGRADE	This has already been customised.
ACCE_MAX_DRAINRATE	Max. Absorption Rate
ACCE_NOTABSORBITEM	You cannot use a weapon or armour piece that has already been absorbed.
ACCE_NOT_SEALITEM	You cannot use any soulbound items.
ACCE_NOT_USINGITEM	You cannot combine an equipped item.
ACCE_NOT_WINDOWOPEN	You cannot use the item when the window for combination is open.
ACCE_POSSIBLE_ACCE	You can only use Shoulder Sashes.
ACCE_POSSIBLE_ACCEITEM	You can only extract bonuses from weapons and armour.
AFF_LOVE_POINT	Love points: %d%%
ALIGNMENT_NAME	Rank points:
ATTACK_ERROR_UNKNOWN	Unknown attack error: %s
ATTENDANCE_REWARD_QUESTION	Do you want to collect your reward?
ATTR_6TH_7TH_ADD_QUESTION1	You cannot use this item while a bonus is being added.
ATTR_6TH_7TH_ADD_QUESTION2	Do you really want to add the bonus?
ATTR_6TH_7TH_CHANGE_FAIL	You cannot change the bonus.
ATTR_6TH_7TH_DESC1	a. You must add the materials required for the item to add a 6th and 7th bonus.
ATTR_6TH_7TH_DESC2	b. Each powershard increases the success rate by 2%.
ATTR_6TH_7TH_DESC3	c. Use an additive to increase the success rate even further.
ATTR_6TH_7TH_DESC4	d. It takes 24 hours to add a bonus. During this time, the NPC will keep the item onto which the bonus should be added. As soon as the process is complete, you can collect it again.
ATTR_6TH_7TH_POSSIBILITY	You can add an additional bonus.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Success rate: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	You cannot change the stats of a soulbound item.
AURA_CLEAR_QUESTION_WHEN_USE	Do you want to remove the absorbed bonuses? They cannot be restored.
AURA_DRAIN_PER	Absorption rate %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Insufficient Yang to evolve.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] No further bonuses can be applied.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Equipped items cannot be transmitted.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Cannot be evolved.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Current number of items is not sufficient to evolve.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Cannot be improved.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Only Aura Outfit, Shield, Necklace, Earring and Armband can be used.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Soulbound items cannot be transmitted.
AURA_ITEM_NEED_REGISTER	[Aura] Items must be inserted.
AURA_LEVEL_STEP	Lvl%d (Stage %d)
AURA_MAX_LEVEL	[Aura] Aura Outfit has attained maximum level.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Transmitted item will be destroyed.
AURA_OPEN_OTHER_WINDOW	You cannot do this while the window for improvement, evolution or transferring stats is open.
AURA_POSSIBLE_AURAITEM	[Aura] Only Aura Outfit can be used.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura Outfit must be inserted first.
AURA_TITLE_ABSORB	Transmit values onto Aura Outfit
AURA_TITLE_EVOLUTION	Evolve Aura Outfit
AURA_TITLE_GROWTH	Improve Aura Outfit
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl%d (Stage %d) (Absorption rate %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	New
AURA_TOOLTIP_NOW	Current
AURA_TOOLTIP_RESOURCE	Consumables
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	You cannot equip that while Auto-Hunting is active.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	You cannot activate Auto-Hunting while this item is equipped.
AUTO_HUNTING_OPTION_BOSS	Boss
AUTO_HUNTING_OPTION_KING	Level 5
AUTO_HUNTING_OPTION_KNIGHT	Level 3
AUTO_HUNTING_OPTION_PAWN	Level 1
AUTO_HUNTING_OPTION_STONE	Metin Stone
AUTO_HUNTING_OPTION_S_KNIGHT	Level 4
AUTO_HUNTING_OPTION_S_PAWN	Level 2
AUTO_TOOLTIP_CLEAR	Reset
AUTO_TOOLTIP_LINE1	Skills: Select skills for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE2	Hint: You can change the activation interval (in seconds) below each skill.
AUTO_TOOLTIP_LINE3	Potions: Select potions for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE4	Hint: HP and SP potions will be activated as soon as the level falls below the % value shown below each potion.
AUTO_TOOLTIP_LINE5	Note: automatic use of skills, potions and resurrection can be activated in the item shop.
AUTO_TOOLTIP_LINE6	5. Potions and items that are selected will be automatically consumed after the buff expires without displaying a remaining duration.
AUTO_TOOLTIP_LINE7	6. Using the arrow next to Attack allows you to determine the strength of the monsters you attack (+/- levels from yours).
AUTO_TOOLTIP_LINE8	7. Using the arrow next to Focus allows you to determine within what range to attack monsters.
AUTO_TOOLTIP_TITLE	Auto-Hunting Help
BATTLE_MAP_NAME_AREA_1	Zone 1
BATTLE_MAP_NAME_AREA_2	Zone 2
BATTLE_MAP_NAME_AREA_3	Zone 3
BATTLE_MAP_NAME_AREA_4	Zone 4
BATTLE_MAP_NAME_AREA_5	Zone 5
BATTLE_MAP_NAME_AREA_6	Zone 6
BATTLE_MAP_NAME_AREA_7	Zone 7
BATTLE_MAP_NAME_AREA_8	Zone 8
BATTLE_MAP_NAME_AREA_9	Zone 9
BATTLE_POINT	Combat Points
BATTLE_ROYALE_ALIVE_COUNT	Survivors: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	You cannot open that here.
BATTLE_ROYALE_KILL_COUNT	Opponents defeated: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Participate
BATTLE_ROYALE_MAINBUTTON_CANCEL	Cancel
BATTLE_ROYALE_MAINBUTTON_EXIT	Leave
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Start
BATTLE_ROYALE_NOTIFY_APPLICATED	You have registered for the Battle Royale. You can enter as soon as there are enough participants.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Registration for the Battle Royale is closed.
BATTLE_ROYALE_NOTIFY_STARTABLE	You can now enter the Battle Royale. Click on the event button to participate.
BATTLE_ROYALE_NOTIFY_WINNER	You win.
BATTLE_ROYALE_PERSONAL_RANK	Your Rank: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Do you want to use Infinite Endurance?
BATTLE_ROYALE_WHO_KILLED	Player who killed you: %s
BATTLE_ROYALE_WINNER_1	You won the Battle Royale!
BATTLE_ROYALE_WINNER_2	You will be teleported to the village soon.
BEAD	Animasphere
BEAD_TIME_REMAINING_TO_GET	Animasphere charged in: %d min.
BELT_RENEWAL_BANN_SIGN	Cannot proceed.
BELT_RENEWAL_INVENTORY_FULL	There isn't enough space in your inventory.
BNW_COIN	Seer Coin
BUTTON_TOOLTIP_GUILD_SHOP	Medal of Bravery Shop
BUY_LIMIT_LEVEL	Buy limit: %s
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_DOING_PRIVATE_SHOP_OPEN	You cannot do anything else while you have a private shop open.
CANNOT_EQUIP_IN_EXCHANGE	You cannot change your equipment whilst trading.
CANNOT_EQUIP_IN_SHOP	You cannot change your equipment whilst trading.
CANNOT_FISHING_RIDE_MOUNT	You cannot fish while you are mounted.
CANNOT_FISHING_WHILE_POLY	You cannot fish while transformed.
CANNOT_ILLUSTRATIONPAGE_WARP	You cannot use the Monster Card teleport feature here.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	You cannot do that while moving.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	You cannot open a private shop in a public area.
CANNOT_POLY_STATUS	You cannot transform at the moment.
CANNOT_PVP_MAP_MESSAGE	You cannot do that in this area.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_SKILL_APPROACH	I am sure that I cannot get any closer.
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_BLUE	You cannot use Indigo Wolf Soul when Crimson Wolf Soul is active.
CANNOT_SKILL_DEST_IN_SAFE	The opponent is too far away.
CANNOT_SKILL_EQUIP_FISHING_ROD	You cannot fish without a fishing rod equipped.
CANNOT_SKILL_HAVE_TO_RIDE	I need a Horse to be able to use this.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	I do not have an empty bottle.
CANNOT_SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle.
CANNOT_SKILL_NEED_TARGET	Who is the target?
CANNOT_SKILL_NOT_ENOUGH_HP	I do not have enough HP!
CANNOT_SKILL_NOT_ENOUGH_SP	I do not have enough SP!
CANNOT_SKILL_NOT_HORSE_SKILL	I cannot use this whilst riding.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	I cannot use this skill with this weapon.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	You cannot use this skill on this mount.
CANNOT_SKILL_NOT_YET_LEARN	I have not learned this skill.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	This only affects group members.
CANNOT_SKILL_ONLY_FOR_CORPSE	This only affects dead people.
CANNOT_SKILL_RED	You cannot use Crimson Wolf Soul when Indigo Wolf Soul is active.
CANNOT_SKILL_REMOVE_FISHING_ROD	I cannot use this skill with a Fishing Pole.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.
CANNOT_SKILL_USE_SELF	I cannot use this on myself.
CANNOT_SKILL_WAIT_COOLTIME	I cannot use this skill yet.
CANNOT_UNEQUIP_IN_BATTLE	You have to stand still to unequip the item.
CANNOT_USE	You cannot use this.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	You cannot use the Zen Bean as your evil disposition cannot be reduced further.
CANNOT_WHISPER_BLOCKED_TARGET	You must remove %s from your block list first.	SA
CANNOT_WHISPER_DEST_REFUSE	%s has blocked whispering.	SA
CANNOT_WHISPER_NOT_LOGON	%s is not online.	SA
CANNOT_WHISPER_SELF_REFUSE	You cannot whisper something to someone when you have completely blocked whispering.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s has blocked you.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	You cannot attach multiple spirit stones of the same type.
CANT_USE_MESSAGE_WHEN_EQUIP	You cannot use that on an equipped item.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	You receive King Deck(s).
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	You receive King Cards.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	You don't have sufficient items or money to play.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	You cannot receive any more King Decks.
