ACCE_ABSORB_COST	Coste de combinación: %d
ACCE_ALREADY_REGISTER	Este objeto ya se está utilizando.
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
ACCE_DEL_SERVEITEM2	Si falla la combinación, la Estola 2 quedará destruida.
ACCE_INITEM	Arrastra los objetos a la ventana.
ACCE_MAXGRADE	Ya está personalizada.
ACCE_MAX_DRAINRATE	Tasa de absorción máxima
ACCE_NOTABSORBITEM	No puedes usar un arma o armadura que ya se haya absorbido.
ACCE_NOT_SEALITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
ACCE_NOT_USINGITEM	No puedes combinar un objeto equipado.
ACCE_NOT_WINDOWOPEN	No puedes usar el objeto mientras la ventana de combinación se encuentre abierta.
ACCE_POSSIBLE_ACCE	Solo puedes usar Estolas.
ACCE_POSSIBLE_ACCEITEM	Solo puedes extraer bonificaciones de armas y armaduras.
AFF_LOVE_POINT	Puntos de amor: %d%%
ALIGNMENT_NAME	Puntos de clasificación:
ATTACK_ERROR_UNKNOWN	Error desconocido de ataque: %s
ATTENDANCE_REWARD_QUESTION	¿Quieres recibir tu recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	No puedes utilizar este objeto mientras se está añadiendo una bonificación.
ATTR_6TH_7TH_ADD_QUESTION2	¿Seguro que quieres añadir la bonificación?
ATTR_6TH_7TH_CHANGE_FAIL	No puedes modificar la bonificación.
ATTR_6TH_7TH_DESC1	a) Debes introducir los materiales necesarios para el objeto para poder añadir la 6.ª y 7.ª bonificación.
ATTR_6TH_7TH_DESC2	b) Cada fragmento aumenta la tasa de éxito en un 2 %.
ATTR_6TH_7TH_DESC3	c) Utiliza una ampliación para aumentar la tasa de éxito de forma adicional.
ATTR_6TH_7TH_DESC4	d) Hacen falta 24 horas para añadir la bonificación. El PNJ se quedará con el objeto al que se añadirá la bonificación. En cuanto el proceso haya finalizado, podrás volver a recogerlo.
ATTR_6TH_7TH_POSSIBILITY	Puedes añadir una bonificación adicional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Probabilidad de éxito: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	No es posible modificar los atributos de un objeto vinculado al alma.
AURA_CLEAR_QUESTION_WHEN_USE	¿Quieres eliminar los atributos aplicados? No se podrán restaurar.
AURA_DRAIN_PER	Tasa de absorción %.1f %%
