ACCE_ABSORB_COST	Coûts de combi : %d
ACCE_ALREADY_REGISTER	Cet objet a déjà été utilisé.
ACCE_DEL_ABSORDITEM	Absorber et détruire l'objet ?
ACCE_DEL_SERVEITEM	L'étole 2 sera détruite en cas d'échec de la fusion.
ACCE_DEL_SERVEITEM2	L'étole 2 sera détruite en cas d'échec de la fusion.
ACCE_INITEM	Glissez les objets dans la fenêtre.
ACCE_MAXGRADE	Le rang rare est déjà atteint.
ACCE_MAX_DRAINRATE	Taux d'absorption maximal
ACCE_NOTABSORBITEM	Vous ne pouvez plus utilisez une arme/armure ayant déjà fait l'objet d'une absorption.
ACCE_NOT_SEALITEM	Vous ne pouvez pas utiliser un objet lié à l'âme.
ACCE_NOT_USINGITEM	Vous ne pouvez pas fusionner un objet équipé.
ACCE_NOT_WINDOWOPEN	Vous ne pouvez pas utiliser cet objet tant que la fenêtre de fusion est ouverte.
ACCE_POSSIBLE_ACCE	Vous pouvez uniquement utiliser des étoles.
ACCE_POSSIBLE_ACCEITEM	Vous pouvez uniquement extraire des bonus à partir d'armes et d'armures.
AFF_LOVE_POINT	Point d'amour : %d%%
ALIGNMENT_NAME	Points de grade :
ATTACK_ERROR_UNKNOWN	Erreur d'attaque inconnue : %s
ATTENDANCE_REWARD_QUESTION	Souhaitez-vous obtenir votre récompense ?
ATTR_6TH_7TH_ADD_QUESTION1	Vous ne pouvez pas utiliser cet objet pendant qu'un bonus est ajouté.
ATTR_6TH_7TH_ADD_QUESTION2	Voulez-vous vraiment ajouter le bonus ?
ATTR_6TH_7TH_CHANGE_FAIL	Vous ne pouvez pas modifier le bonus.
ATTR_6TH_7TH_DESC1	a. Vous devez insérer les matériaux nécessaires à l'objet pour ajouter le 6e et 7e bonus.
ATTR_6TH_7TH_DESC2	b. Avec chaque fragment, le taux de réussite augmente de 2 %.
ATTR_6TH_7TH_DESC3	c. Utilisez un complément pour que le taux de réussite augmente encore plus.
ATTR_6TH_7TH_DESC4	d. Les bonus mettent 24 heures à être ajoutés. Le PNJ conserve l'objet pour lequel le bonus doit être ajouté. Dès que le processus est terminé, vous pouvez récupérer l'objet.
ATTR_6TH_7TH_POSSIBILITY	Vous pouvez ajouter un bonus supplémentaire.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Probabilité de réussite : %.1f %%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	Les valeurs d'un objet lié à l'âme ne peuvent pas être modifiées.
AURA_CLEAR_QUESTION_WHEN_USE	Voulez-vous supprimer les valeurs enregistrées ? Elles ne peuvent pas être restaurées.
AURA_DRAIN_PER	Taux d'absorption de %.1f %%
AURA_EVOLUTION_GOLD	[Aura] Vous n'avez pas assez de Yangs pour la progression.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Vous ne pouvez plus transférer de bonus supplémentaires.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Les objets équipés ne peuvent pas être transférés.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] La progression est impossible.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Le nombre d'objets ne suffit pas pour la progression.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] L'amélioration est impossible.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Seuls la tenue d'aura, le bouclier, le collier, les boucles d'oreille et le bracelet sont compatibles.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Les objets liés à l'âme ne peuvent pas être transférés.
AURA_ITEM_NEED_REGISTER	[Aura] Des objets doivent être ajoutés.
AURA_LEVEL_STEP	Niveau %d (rang %d)
AURA_MAX_LEVEL	[Aura] La tenue d'aura a atteint le niveau maximal
AURA_NOTICE_DEL_ABSORDITEM	[Aura] L'objet du transfert sera détruit.
AURA_OPEN_OTHER_WINDOW	Vous ne pouvez pas effectuer cette action pendant qu'une fenêtre d'amélioration, de progression ou de transfert de statistiques est ouverte.
AURA_POSSIBLE_AURAITEM	[Aura] Réservé à la tenue d'aura.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] La tenue d'aura doit d'abord être ajoutée.
