1000	1005	0	Veinard	Remportez un prix à la tombola mensuelle Metin+.	Ceci déverrouille immédiatement ce titre pour votre personnage.	2025-08-08 10:00	0
1001	3000	0	Metin+	Disposez d'une adhésion Metin+ active.	Ceci déverrouille immédiatement ce titre pour votre personnage. La durée du titre est automatiquement adaptée au statut actuel de votre adhésion Metin+.	2025-08-08 10:00	0
1002	1003	0	Héroïque	Disposez d'une adhésion Metin+ de rang héroïque ou supérieur.	Ceci déverrouille immédiatement ce titre pour votre personnage. La durée du titre est automatiquement adaptée au statut actuel de votre adhésion Metin+.	2025-08-08 10:00	0
1003	1003	0	Légendaire	Disposez d'une adhésion Metin+ de rang légendaire ou supérieur.	Ceci déverrouille immédiatement ce titre pour votre personnage. La durée du titre est automatiquement adaptée au statut actuel de votre adhésion Metin+.	2025-08-08 10:00	0
1004	1003	0	Mystique	Disposez d'une adhésion Metin+ de rang mystique ou supérieur.	Ceci déverrouille immédiatement ce titre pour votre personnage. La durée du titre est automatiquement adaptée au statut actuel de votre adhésion Metin+.	2025-08-08 10:00	0
1005	1000	0	Héliotrope	Vous pouvez l'empocher pendant la tombola d'été 2025.	Ceci déverrouille immédiatement ce titre pour votre personnage.	2025-08-01 00:00	0
1006	1002	0	Étoile polaire	Vous pouvez l'empocher pendant la tombola d'hiver 2025.	Ceci déverrouille immédiatement ce titre pour votre personnage.	2025-12-25 00:00	0
1007	1003	0	Champion de Nyx	En 2025, utilisez un transfert de personnage de niveau 1 ou supérieur pour transférer un personnage depuis Nyx, le serveur bonus Yohara.	Ceci déverrouille immédiatement ce titre pour votre personnage.	2026-02-04 10:00	0
1008	1003	0	Champion de Chione	En 2025, utilisez un transfert de personnage de niveau 1 ou supérieur pour transférer un personnage depuis Chione, le serveur bonus Yohara.	Ceci déverrouille immédiatement ce titre pour votre personnage.	2026-02-04 10:00	0
1009	1003	0	Champion de Lodos	En 2025, utilisez un transfert de personnage de niveau 1 ou supérieur pour transférer un personnage depuis Lodos, le serveur bonus Yohara.	Ceci déverrouille immédiatement ce titre pour votre personnage.	2026-02-04 10:00	0
1010	1003	0	Champion de Firtina	En 2025, utilisez un transfert de personnage de niveau 1 ou supérieur pour transférer un personnage depuis Firtina, le serveur bonus Yohara.	Ceci déverrouille immédiatement ce titre pour votre personnage.	2026-02-04 10:00	0
1011	1001	0	Grand maitre Okey	Collectez 500 points ou plus dans une partie Okey sur le serveur TREASURE.	Ceci déverrouille immédiatement ce titre pour votre personnage.	2026-04-01 00:00	0
1012	1004	0	Chasseur de pièces	Empochez 10 000 doublons au total sur le serveur TREASURE.	Ceci déverrouille immédiatement ce titre pour votre personnage.	2026-04-01 00:00	0
