ACCE_ABSORB_COST	Êüóôïò óõíäõáóìïı: %d
ACCE_ALREADY_REGISTER	Áõôü ôï áíôéêåßìåíï İ÷åé Şäç ÷ñçóéìïğïéçèåß.
ACCE_DEL_ABSORDITEM	Áğïññüöçóç áíôéêåéìİíïõ êáé êáôáóôñïöŞ ôïõ;
ACCE_DEL_SERVEITEM	Ç Êïñäİëá 2 èá êáôáóôñáöåß áí áğïôı÷åé ï óõíäõáóìüò.
ACCE_DEL_SERVEITEM2	Ç Êïñäİëá 2 èá êáôáóôñáöåß áí áğïôı÷åé ï óõíäõáóìüò.
ACCE_INITEM	ÔñÜâá ôá áíôéêåßìåíá óôï ğáñÜèõñï.
ACCE_MAXGRADE	Áõôü åßíáé Şäç ñáììİíï óôá ìİôñá óïõ.
ACCE_MAX_DRAINRATE	Ìİãéóôç ğéèáíüôçôá áğïññüöçóçò
ACCE_NOTABSORBITEM	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò üğëï/ğáíïğëßá ğïõ İ÷åé Şäç áğïññïöçèåß.
ACCE_NOT_SEALITEM	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò İíá øõ÷éêÜ äåìİíï áíôéêåßìåíï.
ACCE_NOT_USINGITEM	¸íá åîïğëéóìİíï áíôéêåßìåíï äåí ìğïñåß íá óõíäõáóôåß.
ACCE_NOT_WINDOWOPEN	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò ôï áíôéêåßìåíï üóï åßíáé áíïé÷ôü ôï ğáñÜèõñï óõíäõáóìïı.
ACCE_POSSIBLE_ACCE	Ìğïñåßò íá ÷ñçóéìïğïéŞóåéò ìüíï êïñäİëåò şìùí.
ACCE_POSSIBLE_ACCEITEM	Ìğïñåßò íá åîÜãåéò ìğüíïõò ìüíï áğü üğëá êáé ğáíïğëßåò.
AFF_LOVE_POINT	Ğüíôïé áãÜğçò: %d%%
ALIGNMENT_NAME	Ğüíôïé êáôÜôáîçò:
ATTACK_ERROR_UNKNOWN	¢ãíùóôï ËÜèïò Åğßèåóçò: %s
ATTENDANCE_REWARD_QUESTION	Èİëåéò íá ğáñáëÜâåéò ôçí áíôáìïéâŞ óïõ;
