1000	1005	0	Ôõ÷åñÜêéáò	Êİñäéóå óôçí ìçíéáßá êëŞñùóç ôïõ Metin+.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ.	2025-08-08 10:00	0
1001	3000	0	Metin+	¸÷å ìéá åíåñãŞ Éäéüôçôá ìİëïõò Metin+.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ. Ç äéÜñêåéá ôïõ ôßôëïõ ğñïóáñìüæåôáé áõôüìáôá óôçí ğáñïıóá êáôÜóôáóç ôçò Éäéüôçôáò ìİëïõò Metin+ óïõ.	2025-08-08 10:00	0
1002	1003	0	Çñùéêü	¸÷å ôçí êáôÜôáîç «Çñùéêü» Ş ìåãáëıôåñï óôçí Éäéüôçôá ìİëïõò Metin+ óïõ.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ. Ç äéÜñêåéá ôïõ ôßôëïõ ğñïóáñìüæåôáé áõôüìáôá óôçí ğáñïıóá êáôÜóôáóç ôçò Éäéüôçôáò ìİëïõò Metin+ óïõ.	2025-08-08 10:00	0
1003	1003	0	Èñõëéêü	¸÷å ôçí êáôÜôáîç «Èñõëéêü» Ş ìåãáëıôåñï óôçí Éäéüôçôá ìİëïõò Metin+ óïõ.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ. Ç äéÜñêåéá ôïõ ôßôëïõ ğñïóáñìüæåôáé áõôüìáôá óôçí ğáñïıóá êáôÜóôáóç ôçò Éäéüôçôáò ìİëïõò Metin+ óïõ.	2025-08-08 10:00	0
1004	1003	0	Ìõóôéêéóôéêü	¸÷å ôçí êáôÜôáîç «Ìõóôéêéóôéêü» óôçí Éäéüôçôá ìİëïõò Metin+ óïõ.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ. Ç äéÜñêåéá ôïõ ôßôëïõ ğñïóáñìüæåôáé áõôüìáôá óôçí ğáñïıóá êáôÜóôáóç ôçò Éäéüôçôáò ìİëïõò Metin+ óïõ.	2025-08-08 10:00	0
1005	1000	0	ÇëéïëÜôñçò	Ìğïñåßò íá ôïí êåñäßóåéò óôçí êáëïêáéñéíŞ Ôüìğïëá 2025.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ.	2025-08-01 00:00	0
1006	1002	0	Ğïëéêü Áóôİñé	Ìğïñåßò íá ôïí êåñäßóåéò óôçí ÷åéìåñéíŞ Ôüìğïëá 2025.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ.	2025-12-25 00:00	0
1007	1003	0	ĞñùôáèëçôŞò Nyx	ÌåôÜöåñå İíáí ÷áñáêôŞñá ìå ìéá ìåôáöïñÜ ÷áñáêôŞñá åğéğİäïõ É Ş õøçëüôåñïõ áğü ôïí óİñâåñ åíéó÷õôşí Yohara Nyx ôï 2025.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ.	2026-02-04 10:00	0
1008	1003	0	ĞñùôáèëçôŞò Chione	ÌåôÜöåñå İíáí ÷áñáêôŞñá ìå ìéá ìåôáöïñÜ ÷áñáêôŞñá åğéğİäïõ É Ş õøçëüôåñïõ áğü ôïí óİñâåñ åíéó÷õôşí Yohara Chione ôï 2025.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ.	2026-02-04 10:00	0
1009	1003	0	ĞñùôáèëçôŞò Lodos	ÌåôÜöåñå İíáí ÷áñáêôŞñá ìå ìéá ìåôáöïñÜ ÷áñáêôŞñá åğéğİäïõ É Ş õøçëüôåñïõ áğü ôïí óİñâåñ åíéó÷õôşí Yohara Lodos ôï 2025.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ.	2026-02-04 10:00	0
1010	1003	0	ĞñùôáèëçôŞò Firtina	ÌåôÜöåñå İíáí ÷áñáêôŞñá ìå ìéá ìåôáöïñÜ ÷áñáêôŞñá åğéğİäïõ É Ş õøçëüôåñïõ áğü ôïí óİñâåñ åíéó÷õôşí Yohara Firtina ôï 2025.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ.	2026-02-04 10:00	0
1011	1001	0	Áñ÷éìÜóôïñáò Okey	ÖôÜóå ôïõò 500 Ş ğáñáğÜíù ğüíôïõò óå İíáí ãıñï Okey óôïí óİñâåñ TREASURE.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ.	2026-04-01 00:00	0
1012	1004	0	Êõíçãüò íïìéóìÜôùí	Áğüêôçóå óõíïëéêÜ 10.000 Äïõâëüíéá óôïí óİñâåñ TREASURE.	Îåêëåéäşíåé áìİóùò áõôüí ôïí ôßôëï ãéá ôïí ÷áñáêôŞñá óïõ.	2026-04-01 00:00	0
