ACCE_ABSORB_COST	Costo combinazione: %d
ACCE_ALREADY_REGISTER	Questo oggetto è stato già usato.
ACCE_DEL_ABSORDITEM	Assorbire e distruggere l'oggetto?
ACCE_DEL_SERVEITEM	Se la fusione fallisce, la stola 2 verrà distrutta.
ACCE_DEL_SERVEITEM2	Se la fusione fallisce, la stola 2 verrà distrutta.
ACCE_INITEM	Trascina gli oggetti nella finestra.
ACCE_MAXGRADE	Questa stola è già su misura.
ACCE_MAX_DRAINRATE	Tasso di assorbimento massimo
ACCE_NOTABSORBITEM	Non puoi utilizzare un'arma/armatura già assorbita.
ACCE_NOT_SEALITEM	Non si possono utilizzare oggetti legati all'anima.
ACCE_NOT_USINGITEM	Non si possono fondere oggetti che fan parte dell'equipaggiamento.
ACCE_NOT_WINDOWOPEN	Non è possibile utilizzare l'oggetto mentre la finestra della fusione è aperta.
ACCE_POSSIBLE_ACCE	Puoi utilizzare solo stole.
ACCE_POSSIBLE_ACCEITEM	Puoi estrarre bonus solo da armi e armature.
AFF_LOVE_POINT	Punto amore: %d%%
ALIGNMENT_NAME	Punti Karma:
ATTACK_ERROR_UNKNOWN	Errore d'attacco sconosciuto: %s
ATTENDANCE_REWARD_QUESTION	Vuoi ricevere la tua ricompensa?
ATTR_6TH_7TH_ADD_QUESTION1	Non si può usare l'oggetto mentre si aggiunge un bonus.
ATTR_6TH_7TH_ADD_QUESTION2	Aggiungere il bonus?
ATTR_6TH_7TH_CHANGE_FAIL	Non si può modificare il bonus.
ATTR_6TH_7TH_DESC1	a. Per aggiungere il 6° e 7° bonus devi inserire i materiali richiesti per l'oggetto.
ATTR_6TH_7TH_DESC2	b. Ogni frammento aumenta del 2% la probabilità di successo.
ATTR_6TH_7TH_DESC3	c. Aumenta la probabilità di successo con un'Integrazione.
ATTR_6TH_7TH_DESC4	d. L'aggiunta del bonus richiede 24 ore. L'NPC trattiene l'oggetto al quale viene aggiunto il bonus. L'oggetto ti verrà restituito al termine del processo.
ATTR_6TH_7TH_POSSIBILITY	Puoi aggiungere un bonus extra.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Probabilità di successo: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	I valori di un item legato all'anima non si possono modificare.
AURA_CLEAR_QUESTION_WHEN_USE	Vuoi rimuovere i valori registrati? Una volta rimossi non si potranno ripristinare.
AURA_DRAIN_PER	Tasso di assorbimento: %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Non hai abbastanza Yang per effettuare un'evoluzione.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Non è possibile trasferire altri bonus.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Gli item in uso non possono essere trasferiti.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Non si può far evolvere.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] La quantità di item in uso non è sufficiente per effettuare l'evoluzione.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Non si può migliorare.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Si può fare solo con Vesti Aura, scudi, orecchini, bracciali.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Gli oggetti legati all'anima non si possono trasferire.
AURA_ITEM_NEED_REGISTER	[Aura] È necessario aggiungere degli item.
AURA_LEVEL_STEP	Livello %d (livello %d)
AURA_MAX_LEVEL	[Aura] La Veste Aura ha raggiunto il livello massimo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] L'item trasferito è stato distrutto.
AURA_OPEN_OTHER_WINDOW	Non puoi eseguire questa azione quando la finestra per il miglioramento/l'evoluzione/il trasferimento dei valori è aperta.
AURA_POSSIBLE_AURAITEM	[Aura] Si può fare solo con la Veste Aura.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] È necessario aggiungere prima la Veste Aura.
AURA_TITLE_ABSORB	I valori sono stati trasferiti sulla Veste Aura.
AURA_TITLE_EVOLUTION	Fai evolvere la Veste Aura
AURA_TITLE_GROWTH	Migliora la Veste Aura
AURA_TOOLTIP_EXP	EXP (%d%%/100%%)
AURA_TOOLTIP_LEVEL	Livello %d (livello %d) (tasso di assorbimento %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nuovi
AURA_TOOLTIP_NOW	Recenti
AURA_TOOLTIP_RESOURCE	Bene di consumo
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Impossibile impostare mentre è attiva l'Autocaccia.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Impossibile utilizzare l'Autocaccia mentre è equipaggiato questo item.
AUTO_HUNTING_OPTION_BOSS	Boss
AUTO_HUNTING_OPTION_KING	Grado 5
AUTO_HUNTING_OPTION_KNIGHT	Grado 3
AUTO_HUNTING_OPTION_PAWN	Grado 1
AUTO_HUNTING_OPTION_STONE	Roccia Metin
AUTO_HUNTING_OPTION_S_KNIGHT	Grado 4
AUTO_HUNTING_OPTION_S_PAWN	Grado 2
AUTO_TOOLTIP_CLEAR	Reimposta
AUTO_TOOLTIP_LINE1	Abilità: scegli delle abilità per la battaglia e trascinale negli spazi. (Premium)
AUTO_TOOLTIP_LINE2	Suggerimento: sotto ogni abilità puoi modificare l'intervallo di attivazione (espresso in secondi).
AUTO_TOOLTIP_LINE3	Abilità: scegli delle pozioni per la battaglia e trascinale negli spazi. (Premium)
AUTO_TOOLTIP_LINE4	Suggerimento: le pozioni HP e MP si attivano quando si supera il valore in % espresso sotto la pozione.
AUTO_TOOLTIP_LINE5	Attenzione: l'utilizzo automatico di abilità, pozioni e rianimazione può essere attivato nell'Item Shop.
AUTO_TOOLTIP_LINE6	5. Le pozioni e gli oggetti selezionati verranno utilizzati automaticamente allo scadere del buff, senza che venga visualizzata la durata rimanente.
AUTO_TOOLTIP_LINE7	6. Usando la freccia accanto ad "Attacco" puoi specificare quanto devono essere forti i mostri che attacchi (+/- livelli rispetto al tuo livello).
AUTO_TOOLTIP_LINE8	7. Puoi usare la freccia accanto a "Focus" per determinare la distanza alla quale vuoi attaccare i mostri.
AUTO_TOOLTIP_TITLE	Aiuto Autocaccia
BATTLE_MAP_NAME_AREA_1	Zona 1
BATTLE_MAP_NAME_AREA_2	Zona 2
BATTLE_MAP_NAME_AREA_3	Zona 3
BATTLE_MAP_NAME_AREA_4	Zona 4
BATTLE_MAP_NAME_AREA_5	Zona 5
BATTLE_MAP_NAME_AREA_6	Zona 6
BATTLE_MAP_NAME_AREA_7	Zona 7
BATTLE_MAP_NAME_AREA_8	Zona 8
BATTLE_MAP_NAME_AREA_9	Zona 9
BATTLE_POINT	Punti battaglia
BATTLE_ROYALE_ALIVE_COUNT	Sopravvissuti: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Qui non si può aprire.
BATTLE_ROYALE_KILL_COUNT	Avversari sconfitti: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Partecipa
BATTLE_ROYALE_MAINBUTTON_CANCEL	Annulla
BATTLE_ROYALE_MAINBUTTON_EXIT	Esci
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Inizia
BATTLE_ROYALE_NOTIFY_APPLICATED	Hai effettuato la registrazione alla Battle Royale. Non appena ci saranno abbastanza partecipanti, potrai accedere.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Non è più possibile registrarsi per la Battle Royale.
BATTLE_ROYALE_NOTIFY_STARTABLE	Ora puoi accedere alla Battle Royale. Per partecipare, clicca sul pulsante relativo all'evento.
BATTLE_ROYALE_NOTIFY_WINNER	Hai vinto.
BATTLE_ROYALE_PERSONAL_RANK	Piazzamento personale: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Vuoi utilizzare la Resistenza infinita?
BATTLE_ROYALE_WHO_KILLED	Giocatore che ti ha ucciso: %s
BATTLE_ROYALE_WINNER_1	Hai vinto la Battle Royale!
BATTLE_ROYALE_WINNER_2	A breve ti recherai nel villaggio con il teletrasporto.
BEAD	Sfera Anima
BEAD_TIME_REMAINING_TO_GET	La Sfera Anima verrà ricaricata tra %d min.
BELT_RENEWAL_BANN_SIGN	Impossibile procedere.
BELT_RENEWAL_INVENTORY_FULL	Nel tuo Inventario non c'è spazio a sufficienza.
BNW_COIN	Monete Veggenza
BUTTON_TOOLTIP_GUILD_SHOP	Commercio Medaglie del coraggio
BUY_LIMIT_LEVEL	Limite d'acquisto: %s
CANNOT_ATTACK_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_ATTACK_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Finché tieni aperto un negozio privato non puoi eseguire altre azioni.
CANNOT_EQUIP_IN_EXCHANGE	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_EQUIP_IN_SHOP	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_FISHING_RIDE_MOUNT	Non puoi pescare se stai usando una cavalcatura.
