ACCE_ABSORB_COST	Koszty po³¹czenia: %d
ACCE_ALREADY_REGISTER	Przedmiot ten zosta³ ju¿ u¿yty.
ACCE_DEL_ABSORDITEM	Absorbowaæ i tym samym zniszczyæ przedmiot?
ACCE_DEL_SERVEITEM	Szarfa 2 ulegnie zniszczeniu, jeœli kombinacja siê nie powiedzie.
ACCE_DEL_SERVEITEM2	Szarfa 2 ulegnie zniszczeniu, jeœli kombinacja siê nie powiedzie.
ACCE_INITEM	Przeci¹gnij przedmioty do okienka.
ACCE_MAXGRADE	To posiada ju¿ stopieñ unikatowy.
ACCE_MAX_DRAINRATE	Maksymalny stopieñ absorpcji
ACCE_NOTABSORBITEM	Nie mo¿esz u¿ywaæ broni/zbroi, które zosta³y ju¿ absorbowane.
ACCE_NOT_SEALITEM	Nie mo¿esz u¿ywaæ przedmiotu przywi¹zanego do duszy.
ACCE_NOT_USINGITEM	Nie mo¿esz kombinowaæ wyposa¿onego przedmiotu.
ACCE_NOT_WINDOWOPEN	Nie mo¿esz u¿yæ przedmiotu przy otwartym okienku kombinacji.
ACCE_POSSIBLE_ACCE	Mo¿esz u¿ywaæ tylko szarf.
ACCE_POSSIBLE_ACCEITEM	Mo¿esz ekstrahowaæ bonusy tylko z broni i zbroi.
AFF_LOVE_POINT	Punkty Mi³osne: %d%%
ALIGNMENT_NAME	Punkty Rangi:
ATTACK_ERROR_UNKNOWN	Nieznany b³¹d podczas ataku: %s
ATTENDANCE_REWARD_QUESTION	Czy chcesz otrzymaæ swoj¹ nagrodê?
ATTR_6TH_7TH_ADD_QUESTION1	Nie mo¿esz u¿yæ tego przedmiotu w trakcie dodawania bonusu.
ATTR_6TH_7TH_ADD_QUESTION2	Czy naprawdê chcesz dodaæ bonus?
ATTR_6TH_7TH_CHANGE_FAIL	Bonusu nie mo¿na zmieniæ.
ATTR_6TH_7TH_DESC1	a. Musisz wybraæ materia³y potrzebne do dodania 6. lub 7. bonusu do przedmiotu.
ATTR_6TH_7TH_DESC2	b. Ka¿dy od³amek zwiêksza szansê na sukces o 2%.
ATTR_6TH_7TH_DESC3	c. U¿yj suplementu, by dodatkowo zwiêkszyæ szansê na sukces.
ATTR_6TH_7TH_DESC4	d. Dodanie bonusu trwa 24 godziny. NPC zatrzymuje przedmiot, do którego ma zostaæ dodany bonus. Gdy proces zostanie ukoñczony, mo¿esz odebraæ swój przedmiot.
ATTR_6TH_7TH_POSSIBILITY	Mo¿esz dodaæ jeden dodatkowy bonus.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Szansa na sukces: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	Nie mo¿na zmieniaæ wartoœci przedmiotu przywi¹zanego do duszy.
AURA_CLEAR_QUESTION_WHEN_USE	Czy chcesz usun¹æ zarejestrowane wartoœci? Ich przywrócenie nie jest mo¿liwe.
AURA_DRAIN_PER	Stopnieñ absorpcji %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Za ma³o Yang do rozwoju.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Nie mo¿na przenieœæ ju¿ wiêcej bonusów.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Nie mo¿na przenieœæ wyposa¿onych przedmiotów.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Nie mo¿na rozwin¹æ.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Za ma³o przedmiotów do rozwoju.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Nie mo¿na ulepszyæ.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Mo¿liwe s¹ tylko: szata aury, naszyjnik, kolczyk i bransoleta.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Nie mo¿na przenieœæ przywi¹zanych do duszy przedmiotów.
AURA_ITEM_NEED_REGISTER	[Aura] Trzeba dodaæ przedmioty.
AURA_LEVEL_STEP	Pz. %d (poziom %d)
AURA_MAX_LEVEL	[Aura] Szata aury posiada maks. poziom.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Przeniesiony przedmiot ulegnie zniszczeniu.
AURA_OPEN_OTHER_WINDOW	Nie mo¿esz tego zrobiæ, gdy otwarte jest okno ulepszeñ, rozwoju lub transferu parametrów.
AURA_POSSIBLE_AURAITEM	[Aura] Mo¿liwa jest jedynie szata aury.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Najpierw trzeba dodaæ szatê aury.
AURA_TITLE_ABSORB	Przenieœ parametry na szatê aury
AURA_TITLE_EVOLUTION	Rozwiñ szatê aury
AURA_TITLE_GROWTH	Ulepsz szatê aury
AURA_TOOLTIP_EXP	PD (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Pz. %d (Poziom %d) (stopnieñ absorpcji %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nowoœæ
AURA_TOOLTIP_NOW	Aktualne
AURA_TOOLTIP_RESOURCE	Towar u¿ytkowy
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Nie mo¿esz tego za³o¿yæ, gdy Auto £owy s¹ aktywne.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Nie mo¿esz u¿yæ Auto £owów, dopóki masz za³o¿ony ten przedmiot.
AUTO_HUNTING_OPTION_BOSS	Boss
AUTO_HUNTING_OPTION_KING	Poziom 5
AUTO_HUNTING_OPTION_KNIGHT	Poziom 3
AUTO_HUNTING_OPTION_PAWN	Poziom 1
AUTO_HUNTING_OPTION_STONE	Kamieñ Metin
AUTO_HUNTING_OPTION_S_KNIGHT	Poziom 4
AUTO_HUNTING_OPTION_S_PAWN	Poziom 2
AUTO_TOOLTIP_CLEAR	Zresetuj
AUTO_TOOLTIP_LINE1	Umiejêtnoœci: Wybierz umiejêtnoœci do walki i przeci¹gnij je na sloty. (Premium)
AUTO_TOOLTIP_LINE2	Wskazówka: Pod ka¿d¹ umiejêtnoœci¹ mo¿esz edytowaæ czas trwania aktywacji (w sek.)
AUTO_TOOLTIP_LINE3	Mikstury: Wybierz mikstury do walki i przeci¹gnij je na sloty. (Premium)
AUTO_TOOLTIP_LINE4	Wskazówka: Mikstury P¯ i PE zostan¹ aktywowane, gdy wartoœæ w % podana pod mikstur¹ spadnie poni¿ej danego poziomu.
AUTO_TOOLTIP_LINE5	Wskazówka: w ItemShopie mo¿esz aktywowaæ umiejêtnoœci, mikstury oraz wskrzeszenie.
AUTO_TOOLTIP_LINE6	5. Wybrane mikstury i przedmioty s¹ u¿ywane automatycznie po zakoñczeniu buffu bez wyœwietlania pozosta³ego czasu trwania.
AUTO_TOOLTIP_LINE7	6. Za pomoc¹ strza³ki obok "Atakuj" mo¿esz ustaliæ si³ê atakowanych przez ciebie potworów (+/- poziom wzglêdem twojego poziomu).
AUTO_TOOLTIP_LINE8	7. Za pomoc¹ strza³ki obok "Skupienie" mo¿esz ustaliæ, w jakiej odleg³oœci chcesz atakowaæ potwory.
AUTO_TOOLTIP_TITLE	Auto £owy - Pomoc
BATTLE_MAP_NAME_AREA_1	Strefa 1
BATTLE_MAP_NAME_AREA_2	Strefa 2
BATTLE_MAP_NAME_AREA_3	Strefa 3
BATTLE_MAP_NAME_AREA_4	Strefa 4
BATTLE_MAP_NAME_AREA_5	Strefa 5
BATTLE_MAP_NAME_AREA_6	Strefa 6
BATTLE_MAP_NAME_AREA_7	Strefa 7
BATTLE_MAP_NAME_AREA_8	Strefa 8
BATTLE_MAP_NAME_AREA_9	Strefa 9
BATTLE_POINT	Punkty walki
BATTLE_ROYALE_ALIVE_COUNT	Prze¿y³o: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Tutaj tego nie mo¿esz otworzyæ.
BATTLE_ROYALE_KILL_COUNT	Pokonani przeciwnicy: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	WeŸ udzia³
BATTLE_ROYALE_MAINBUTTON_CANCEL	Anuluj
BATTLE_ROYALE_MAINBUTTON_EXIT	WyjdŸ
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Start
BATTLE_ROYALE_NOTIFY_APPLICATED	Zarejestrowa³eœ siê do Battle Royale. Mo¿esz do³¹czyæ, gdy zbierze siê wystarczaj¹ca liczba uczestników.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Zakoñczono rejestracjê do Battle Royale.
BATTLE_ROYALE_NOTIFY_STARTABLE	Teraz mo¿esz do³¹czyæ do Battle Royale. Kliknij na przycisk eventu, by wzi¹æ udzia³.
BATTLE_ROYALE_NOTIFY_WINNER	Wygra³eœ.
BATTLE_ROYALE_PERSONAL_RANK	Osobista ranga: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Czy chcesz u¿yæ bezkresnej wytrzyma³oœci?
BATTLE_ROYALE_WHO_KILLED	Gracz, który ciê zabi³: %s
BATTLE_ROYALE_WINNER_1	Wygra³eœ Battle Royale!
BATTLE_ROYALE_WINNER_2	Za moment zostaniesz teleportowany do wioski.
BEAD	Animosfera
BEAD_TIME_REMAINING_TO_GET	Animosfera zostanie na³adowana za: %d min.
BELT_RENEWAL_BANN_SIGN	Kontynuowanie niemo¿liwe.
BELT_RENEWAL_INVENTORY_FULL	W twoim ekwipunku jest za ma³o miejsca.
BNW_COIN	Moneta Proroka
BUTTON_TOOLTIP_GUILD_SHOP	Handel medalami mêstwa
BUY_LIMIT_LEVEL	Limit zakupu: %s
CANNOT_ATTACK_DEST_IN_SAFE	Przeciwnik jest za daleko.
CANNOT_ATTACK_SELF_IN_SAFE	Nie mogê zaatakowaæ.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Nic nie mo¿esz robiæ, dopóki masz otwarty prywatny sklep.
CANNOT_EQUIP_IN_EXCHANGE	Nie mo¿esz zmieniaæ wyposa¿enia podczas handlowania.
CANNOT_EQUIP_IN_SHOP	Nie mo¿esz zdj¹æ za³o¿onego ekwipunku podczas handlu.
CANNOT_FISHING_RIDE_MOUNT	Nie mo¿esz wêdkowaæ, kiedy siedzisz na wierzchowcu.
CANNOT_FISHING_WHILE_POLY	Nie mo¿esz ³owiæ po przemianie.
CANNOT_ILLUSTRATIONPAGE_WARP	Nie mo¿esz u¿yæ teleportu kart potwora w tym miejscu.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Nie mo¿esz tego zrobiæ, gdy siê poruszasz.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nie mo¿esz otworzyæ prywatnego sklepu w miejscu publicznym.
CANNOT_POLY_STATUS	Nie mo¿esz siê teraz transformowaæ.
CANNOT_PVP_MAP_MESSAGE	Nie mo¿esz tego zrobiæ na tym obszarze.
CANNOT_SHOOT_DEST_IN_SAFE	Wróg jest za daleko.
CANNOT_SHOOT_EMPTY_ARROW	Potrzebujê Strza³y.
CANNOT_SHOOT_SELF_IN_SAFE	Nie mogê tego zrobiæ.
CANNOT_SKILL_APPROACH	Na pewno nie mogê podejœæ bli¿ej.
CANNOT_SKILL_ATTACK	Nie mogê zaatakowaæ.
CANNOT_SKILL_BLUE	Gdy aktywna jest Dusza Purpurowego Wilka, nie mo¿esz u¿yæ Duszy Wilka Indygo.
CANNOT_SKILL_DEST_IN_SAFE	Wróg jest za daleko.
CANNOT_SKILL_EQUIP_FISHING_ROD	Nie z³apiesz ¿adnej ryby bez za³o¿onej wêdki.
CANNOT_SKILL_HAVE_TO_RIDE	Potrzebujê Konia zanim bêdê móg³ tego u¿yæ.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nie mam Pustej Butelki.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nie mam Butelki Z Trucizn¹.
CANNOT_SKILL_NEED_TARGET	Kto jest celem?
CANNOT_SKILL_NOT_ENOUGH_HP	Mam za ma³o Punktów ¯ycia!
CANNOT_SKILL_NOT_ENOUGH_SP	Mam za ma³o Punktów Energii!
CANNOT_SKILL_NOT_HORSE_SKILL	Nie mogê tego u¿yæ podczas jazdy konnej.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Nie mogê u¿yæ tej umiejêtnoœci z t¹ broni¹.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Nie mo¿esz u¿yæ tej umiejêtnoœci na tym wierzchowcu.
CANNOT_SKILL_NOT_YET_LEARN	Nie opanowa³em tej umiejêtnoœci.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	To dzia³a tylko na cz³onków grupy.
CANNOT_SKILL_ONLY_FOR_CORPSE	To dzia³a tylko na martwych ludzi.
CANNOT_SKILL_RED	Gdy aktywna jest Dusza Wilka Indygo, nie mo¿esz u¿yæ Duszy Purpurowego Wilka.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nie mogê u¿yæ tej umiejêtnoœci z Wêdk¹.
CANNOT_SKILL_SELF_IN_SAFE	Nie mogê zaatakowaæ z tego miejsca.
CANNOT_SKILL_USE_SELF	Nie mogê tego u¿yæ na sobie.
CANNOT_SKILL_WAIT_COOLTIME	Nie mogê jeszcze u¿yæ tej Umiejêtnoœci.
CANNOT_UNEQUIP_IN_BATTLE	Musisz staæ w miejscu, aby zdj¹æ ten przedmiot.
CANNOT_USE	Nie mo¿esz go u¿yæ.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Nie mo¿esz u¿yæ fasolki Zen, poniewa¿ nie mo¿na ju¿ bardziej obni¿yæ twojego z³ego usposobienia.
CANNOT_WHISPER_BLOCKED_TARGET	Gracz %s musi zostaæ najpierw usuniêty z twojej czarnej listy.	SA
CANNOT_WHISPER_DEST_REFUSE	%s zablokowa³ mo¿liwoœæ szeptania.	SA
