ACCE_ABSORB_COST	Ñòîèìîñòü ñî÷åòàíèÿ: %d
ACCE_ALREADY_REGISTER	İòîò ïğåäìåò óæå èñïîëüçóåòñÿ.
ACCE_DEL_ABSORDITEM	Ïîãëîòèòü ïğåäìåò è ıòèì åãî óíè÷òîæèòü?
ACCE_DEL_SERVEITEM	Øàğô 2 áóäåò óíè÷òîæåí åñëè êîìáèíèğîâàíèå íå óäàñòñÿ.
ACCE_DEL_SERVEITEM2	Øàğô 2 áóäåò óíè÷òîæåí åñëè êîìáèíèğîâàíèå íå óäàñòñÿ.
ACCE_INITEM	Ïåğåìåñòèòå ïğåäìåò â ıòî îêíî.
ACCE_MAXGRADE	İòî óæå èíäèâèäóàëüíîãî ïîøèâà.
ACCE_MAX_DRAINRATE	Ìàêñ. äîëÿ ïîãëîùåíèÿ
ACCE_NOTABSORBITEM	Åñëè îğóæèå èëè áğîíÿ óæå èñïîëüçîâàëèñü â ïğîöåññå ïîãëîùåíèÿ, òî èõ áîëüøå íåâîçìîæíî ïğèìåíèòü â äàííîé ïğîöåäóğå.
ACCE_NOT_SEALITEM	Ïğåäìåò çà÷àğîâàííûé îêîâàìè äóøè íåâîçìîæíî èñïîëüçîâàòü.
ACCE_NOT_USINGITEM	Ñíàğÿæåííûé ïğåäìåò íåâîçìîæíî èñïîëüçîâàòü â ïğîöåññå êîìáèíèğîâàíèÿ.
ACCE_NOT_WINDOWOPEN	Âû íå ìîæåò èñïîëüçîâàòü ıòîò ïğåäìåò åñëè îêíî êîìáèíèğîâàíèÿ îòêğûòî.
ACCE_POSSIBLE_ACCE	Èñïîëüçîâàòü ìîæíî ëèøü øàğôû.
ACCE_POSSIBLE_ACCEITEM	Èçâëå÷ü áîíóñû ìîæíî òîëüêî èç îğóæèÿ èëè áğîíè.
AFF_LOVE_POINT	Î÷êè ëşáâè: %d%%
ALIGNMENT_NAME	Ğàíã:
ATTACK_ERROR_UNKNOWN	Íåèçâåñòíàÿ îøèáêà àòàêè: %s
ATTENDANCE_REWARD_QUESTION	Õîòèòå ïîëó÷èòü íàãğàäó ñåé÷àñ?
ATTR_6TH_7TH_ADD_QUESTION1	Âû íå ìîæåòå èñïîëüçîâàòü ïğåäìåò, ïîêà äîáàâëÿåòñÿ áîíóñ.
ATTR_6TH_7TH_ADD_QUESTION2	Âû òî÷íî õîòèòå äîáàâèòü áîíóñ?
ATTR_6TH_7TH_CHANGE_FAIL	Âû íå ìîæåòå èçìåíèòü áîíóñ.
ATTR_6TH_7TH_DESC1	à. Âàì íóæíî äîáàâèòü ìàòåğèàëû, íåîáõîäèìûå äëÿ ïğåäìåòà, ÷òîáû äîáàâèòü 6-é èëè 7-é áîíóñ.
ATTR_6TH_7TH_DESC2	á. Êàæäûé ôğàãìåíò ïîâûøàåò âåğîÿòíîñòü óñïåõà íà 2%.
ATTR_6TH_7TH_DESC3	â. Ïğèìåíèòå äîïîëíåíèå, ÷òîáû åùå áîëüøå ïîâûñèòü âåğîÿòíîñòü óñïåõà.
ATTR_6TH_7TH_DESC4	ã. Äîáàâëåíèå áîíóñà çàíèìàåò 24 ÷àñà. NPC çàáèğàåò ñåáå ïğåäìåò, ê êîòîğîìó äîáàâëÿåòñÿ áîíóñ. Êîãäà ïğîöåññ çàâåğøàåòñÿ, âû ìîæåòå âíîâü çàáğàòü ïğåäìåò.
ATTR_6TH_7TH_POSSIBILITY	Âû ìîæåòå äîáàâèòü äîïîëíèòåëüíûé áîíóñ.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Âåğîÿòíîñòü óñïåõà: %.1f%%
