ACCEPT	ÎÊ
ACCE_ABSORB	Ïîãëîùåíèå áîíóñîâ
ACCE_COMBINE	Êîìáèíèğîâàíèå
ACCE_MAIN	Øàğô 1
ACCE_RESULT	Ğåçóëüòàò
ACCE_SERVE	Øàğô 2
ATTACH_METIN_INFO	Âû õîòèòå èñïîëüçîâàòü Êàìåíü äóõà?
ATTACH_METIN_TITLE	Èñïîëüçîâàòü Êàìåíü äóõà
ATTENDANCE_TITLE	Ñîáûòèå «Îõîòíèêè íà áîññîâ»
ATTR_67_ADD	Äîáàâèòü áîíóñ
ATTR_67_ADD_TITLE	Äîáàâèòü áîíóñ
ATTR_67_MATERIAL_SLOT_TITLE	Ôğàãìåíòû
ATTR_67_REGIST_SLOT_TITLE	Öåëåâîé ïğåäìåò
ATTR_67_SUPPORT_SLOT_TITLE	Äîïîëíåíèå
AURA_MAIN	Îäåÿíèå àóğû
AURA_SUB	Ìàòåğèàë
AUTO_AUTO_ATTACK	Àòàêîâàòü
AUTO_AUTO_POSITION	Çåëüÿ
AUTO_AUTO_POTION	Çåëüÿ
AUTO_AUTO_RANGE	Ôîêóñ
AUTO_AUTO_RESTART	Îæèâëåíèå
AUTO_AUTO_SKILL	Íàâûêè
AUTO_CLEAR	Î÷èñòèòü
AUTO_END	Îñòàíîâèòü
AUTO_OFF	Âûêë.
AUTO_ON	Âêë.
AUTO_OPTION_ACCEPT	Ïîäòâåğäèòü
AUTO_OPTION_CLEAR	Ñáğîñèòü
AUTO_OPTION_RANGE	Óğîâåíü
AUTO_POSITION_SETTING	Çåëüÿ
AUTO_POTION_SETTING	Çåëüÿ
AUTO_RANGE_ACCEPT	Ïîäòâåğäèòü
AUTO_SAVE	Ñîõğàíèòü
AUTO_SETTING	Íàñòğîéêè
AUTO_SKILL_SETTING	Íàâûêè
AUTO_START	Ïğèñòóïèòü
AUTO_TITLE	Àâòîîõîòà
BANNER_ATTENDANCE_BUTTON	Ñîáûòèå «Îõîòíèêè íà áîññîâ»
BANNER_BATTLE_ROYALE_BUTTON	Êîğîëåâñêàÿ áèòâà
BANNER_BLACK_AND_WHITE_BUTTON	Ñîñòÿçàíèå ïğîâèäöåâ
BANNER_CATCHKING_BUTTON	«Õâàòàé êîğîëÿ»
BANNER_EASTER_BUTTON	ÏÀÑÕÀ
BANNER_FISH_BUTTON	ĞÛÁÀËÊÀ-ÃÎËÎÂÎËÎÌÊÀ
BANNER_FLOWER_BUTTON	ÄÅÒÈ ÖÂÅÒÎÂ
BANNER_FOOTBALL_BUTTON	ÔÓÒÁÎË
BANNER_FORCE_EVENT	Îòçâóêè âåêîâ
BANNER_GOLDEN_LAND_BUTTON	Çîëîòàÿ çåìëÿ
BANNER_HALLOWEEN_BUTTON	ÕİËËÎÓÈÍ
BANNER_LUCKY_EVENT	ÒĞÀÂËß ÌÎÍÑÒĞÎÂ
BANNER_METINSTONE_RAIN_EVENT_BUTTON	Ìåòèíîâàÿ ëèõîğàäêà
BANNER_MINIBOSS_BUTTON	Çîäèàê-àïîêàëèïñèñ
BANNER_MONSTERBACK_BUTTON	Çàñ÷èòàòü óäàğû
BANNER_MYSTERY_BOX_BUTTON	ÑÎÁÛÒÈÅ Ñ ÄÎÁÛ×ÅÉ I
BANNER_MYSTERY_BOX_BUTTON_2	ÑÎÁÛÒÈÅ Ñ ÄÎÁÛ×ÅÉ II
BANNER_NEW_XMAS_BUTTON	ĞÎÆÄÅÑÒÂÎ
BANNER_OKEY_BUTTON	Îêåé ıâåíò
BANNER_OLYMPIC_BUTTON	ÑÎÁÛÒÈÅ ÄËß ÃÅĞÎÅÂ
BANNER_OTHER_WORLD_BUTTON	Ïóòåøåñòâèå íà òîò ñâåò
BANNER_RAMADAN_BUTTON	ĞÀÌÀÄÀÍ
BANNER_ROULETTE_BUTTON	Ğèòóàë êğîâè
BANNER_SNOWFLAKE_STICK_EVENT_BUTTON	Ñîáûòèå «Ñíåæèíêè»
BANNER_SOUL_BUTTON	ÑÎÁÛÒÈÅ Ñ ÄÓØÀÌÈ
BANNER_SPORTS_MATCH_BUTTON	Ñîáûòèå ê ÷åìïèîíàòó
BANNER_SUMMER_BUTTON	ËÅÒÍÅÅ ÑÎÁÛÒÈÅ
BANNER_TREASURE_HUNT	Ïîèñê ñîêğîâèù
BANNER_VALENTINE_BUTTON	ÄÅÍÜ ÑÂ. ÂÀËÅÍÒÈÍÀ
BANNER_WORLD_BOSS_BUTTON	Ìèğîâîé áîññ
BANNER_YUTNORI_BUTTON	Şòíîğè
BATTLE_FIELD_INFO	Ïîëå áîÿ
BATTLE_FIELD_OPERATION_TIME	Âîéòè íà ïîëå áîÿ ìîæíî ñ %s:00 äî %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Âõîä ğàçğåøåí â ëşáîå âğåìÿ.
