ACCEPT	Tamam
ACCE_ABSORB	Bonus Emişi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuşak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuşak 2
ATTACH_METIN_INFO	Zihin taşını eklemek istiyor musun?
ATTACH_METIN_TITLE	Zihin taşını ekle
ATTENDANCE_TITLE	Patron Avcısı Etkinliği
ATTR_67_ADD	Bonus ekle
ATTR_67_ADD_TITLE	Bonus ekle
ATTR_67_MATERIAL_SLOT_TITLE	Parça
ATTR_67_REGIST_SLOT_TITLE	Hedef eşya
ATTR_67_SUPPORT_SLOT_TITLE	Ekleme
AURA_MAIN	Aura Giysisi
AURA_SUB	Malzeme
AUTO_AUTO_ATTACK	Saldır
AUTO_AUTO_POSITION	İksirler
AUTO_AUTO_POTION	İksirler
AUTO_AUTO_RANGE	Odak
AUTO_AUTO_RESTART	Canlandırma
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Boşalt
AUTO_END	Dur
AUTO_OFF	Kapalı
AUTO_ON	Açık
AUTO_OPTION_ACCEPT	Onayla
AUTO_OPTION_CLEAR	Sıfırla
AUTO_OPTION_RANGE	Seviye
AUTO_POSITION_SETTING	İksirler
AUTO_POTION_SETTING	İksirler
AUTO_RANGE_ACCEPT	Onayla
AUTO_SAVE	Kaydet
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Başla
AUTO_TITLE	Otomatik Av
BANNER_ATTENDANCE_BUTTON	Patron Avcısı Etkinliği
BANNER_BATTLE_ROYALE_BUTTON	Battle Royale
BANNER_BLACK_AND_WHITE_BUTTON	Kahin Yarışması
BANNER_CATCHKING_BUTTON	Kralı yakala
BANNER_EASTER_BUTTON	YUMURTA BAYRAMI
BANNER_FISH_BUTTON	BALIK YAPBOZ OYUNU
BANNER_FLOWER_BUTTON	ÇİÇEK ÇOÇUKLAR
BANNER_FOOTBALL_BUTTON	FUTBOL
BANNER_FORCE_EVENT	Kuvvet Yankıları
BANNER_GOLDEN_LAND_BUTTON	Altın Topraklar
BANNER_HALLOWEEN_BUTTON	CADILAR BAYRAMI!
BANNER_LUCKY_EVENT	CANAVAR AVI
BANNER_METINSTONE_RAIN_EVENT_BUTTON	Metin Ateşi
BANNER_MINIBOSS_BUTTON	Zodyak kıyameti
BANNER_MONSTERBACK_BUTTON	Hayat puanı kullan
BANNER_MYSTERY_BOX_BUTTON	GANİMET-ETKİNLİĞİ I
BANNER_MYSTERY_BOX_BUTTON_2	GANİMET-ETKİNLİĞİ II
BANNER_NEW_XMAS_BUTTON	YILBAŞI
BANNER_OKEY_BUTTON	Okey Etkinliği
BANNER_OLYMPIC_BUTTON	KAHRAMAN ETKİNLİĞİ
BANNER_OTHER_WORLD_BUTTON	Öbür Dünyaya Seyahat
BANNER_RAMADAN_BUTTON	RAMAZAN
BANNER_ROULETTE_BUTTON	Kan Ritüeli
BANNER_SNOWFLAKE_STICK_EVENT_BUTTON	Kar Tanesi Etkinliği
BANNER_SOUL_BUTTON	RUH ETKİNLİĞİ
BANNER_SPORTS_MATCH_BUTTON	Şampiyonluk Etkinliği
BANNER_SUMMER_BUTTON	YAZ ETKİNLİĞİ
BANNER_TREASURE_HUNT	Hazine avı
BANNER_VALENTINE_BUTTON	SEVGİLİLER GÜNÜ
BANNER_WORLD_BOSS_BUTTON	Dünya patronu
BANNER_YUTNORI_BUTTON	Yutnori
BATTLE_FIELD_INFO	Savaş Bölgesi
BATTLE_FIELD_OPERATION_TIME	Savaş Bölgesi'ne giriş %s.00 - %s.00 arası mümkün.
BATTLE_FIELD_OPERATION_TIME_ALL	Giriş her zaman mümkün.
BATTLE_FIELD_OPERATION_TIME_END	Savaş Bölgesi %s sa. daha açık.
BATTLE_FIELD_OPERATION_TIME_NA	Giriş şu anda mümkün değil.
BATTLE_FIELD_OPERATION_TIME_OPEN	%s saat içinde %s saat boyunca giriş yapılabilir
BATTLE_FILED_RANK	Rütbe
BATTLE_FILED_RANK_EMPIRE	Krallık
BATTLE_FILED_RANK_NAME	İsim
BATTLE_FILED_RANK_POINT	Puan
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Katıl
BATTLE_ROYALE_MAINBUTTON_RANKING	Sıralama listesi
BATTLE_ROYALE_RETURN_TO_TOWN	Köye geri dön
BELT_INVENTORY_TITLE	Kemer envanteri
BNW_GAME_UI_COM	Düşman
BNW_RANK_UI_COUNT	Bağış sayısı
BNW_RANK_UI_NAME	İsim
BNW_RANK_UI_RANK	Rütbe
CANCEL	iptal
CHANGE_ATTR_SELECT	Bonusu değiştir
CHANGE_PASSWORD_CONFIRM	Şifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni şifre
CHANGE_PASSWORD_OLD	Eski şifre
CHANGE_PASSWORD_TITLE	Şifre Değiştir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	İfade
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CHARACTER_SPECTIAL_ACTION	Özel hareketler
CHATTING_SETTING_CANCLE	İptal et
CHATTING_SETTING_CLEAR	Sıfırla
CHATTING_SETTING_DEFAULT_TITLE	Genel
CHATTING_SETTING_DETAIL	Sistem ayarları
CHATTING_SETTING_DICE	Zar
CHATTING_SETTING_DICE_SETTING	Zar ayarları
CHATTING_SETTING_EXP	Tecrübe
CHATTING_SETTING_GOLD	Para birimi
CHATTING_SETTING_GUILD	Lonca
CHATTING_SETTING_ITEM	Eşyalar
CHATTING_SETTING_LANGUAGE_1	Dil 1
CHATTING_SETTING_LANGUAGE_2	Dil 2
CHATTING_SETTING_LANGUAGE_3	Dil 3
CHATTING_SETTING_LANGUAGE_CUR	Mevcut dil ( %s )
CHATTING_SETTING_LANGUAGE_ONOFF	Filtre
CHATTING_SETTING_LIST	Liste
CHATTING_SETTING_NOTICE	Mesaj
CHATTING_SETTING_PARTY	Grup
CHATTING_SETTING_SAVE	Kaydet
CHATTING_SETTING_SHOUT	Çağrı sohbeti
CHATTING_SETTING_SYSTEM	Sistem
CHATTING_SETTING_TABNAME	Sohbet adı ayarları
CHATTING_SETTING_TALKING	Genel
CHATTING_SETTING_TITLE	Sohbet ayarları
CHAT_FILTER	Sohbet Süzgeci
CHAT_FILTER_DICE	Zar
CLOSE	Kapat
COMB_APPEARANCE	Alıcı
COMB_ATTRIBUTE	Orijinal
COMB_MAIN	Alıcı
COMB_MATERIAL	Orijinal
COMB_SKILLBOOK_TILE	Kitap takas et
COMB_TITLE	
COMMUNITY_ACCEPT	Kabul et
COMMUNITY_ADD_FAVORITE_QUESTION	Favorilere eklensin mi?
COMMUNITY_AUTO_HUNT	Otomatik av kullanıyor
COMMUNITY_CHANNEL_INFO	Kanal: %d
COMMUNITY_CONFIG_FAMILY_MEMBER_LOGIN_ALARM	Eş için çevrimiçi uyarı ekle
COMMUNITY_CONFIG_FRIEND_MEMBER_LOGIN_ALARM	Arkadaşlar için çevrimiçi uyarı ekle
COMMUNITY_CONFIG_GUILD_MEMBER_LOGIN_ALARM	Lonca üyeleri için çevrimiçi uyarı ekle
COMMUNITY_CONFIG_INCLUDE_FAMILY_MEMBER	Eşimin de engelle
COMMUNITY_CONFIG_INCLUDE_FRIEND_MEMBER	Arkadaşlarımın da engelle
COMMUNITY_CONFIG_INCLUDE_GUILD_MEMBER	Lonca üyelerinin de engelle
COMMUNITY_CONFIG_INIT	Sıfırla
COMMUNITY_CONFIG_INIT_QUESTION	Ayarları sıfırlamak istiyor musun?
COMMUNITY_CONFIG_LEVEL_INFO_SHOW	Arkadaş listendeki arkadaşlarına seviyeni göstermek için seç.
COMMUNITY_CONFIG_LOCATION_INFO_SHOW	Arkadaş listendeki arkadaşlarına konumunu göstermek için seç.
COMMUNITY_CONFIG_MAIN_BLOCK	Engelleme seçenekleri
COMMUNITY_CONFIG_MAIN_LOGIN_ALARM	Çevrimiçi uyarı ayarları
COMMUNITY_CONFIG_MAIN_MY_INFO_ALARM	Profil bildirim ayarları
COMMUNITY_CONFIG_OFF	KAPALI
COMMUNITY_CONFIG_ON	AÇIK
COMMUNITY_CONFIG_QUESTION_SAVE	Değişiklikleri kaydetmek istiyor musun?
COMMUNITY_CONFIG_SAVE	Kaydet
COMMUNITY_CONFIG_SUB_BLOCK_EXCHANGE	Ticareti engelle (1 : 1)
COMMUNITY_CONFIG_SUB_BLOCK_FRIEND_REQUEST	Arkadaşlık isteğini engelle
COMMUNITY_CONFIG_SUB_BLOCK_GUILD_INVITE	Lonca davetini engelle
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_INVITE	Grup davetlerini engelle
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_REQUEST	Grup isteklerini engelle
COMMUNITY_CONFIG_SUB_BLOCK_WHISPER	Fısıltıyı engelle
COMMUNITY_CONFIG_SUB_LOGIN_ALARM	Çevrimiçi uyarılar
COMMUNITY_CONFIG_SUB_MY_INFO_ALARM	Profili göster
COMMUNITY_CONNECT	Çevrimiçi
COMMUNITY_DELETE_FAVORITE_QUESTION	Favorilerden kaldırılsın mı?
COMMUNITY_DISCONNECT	Çevrimdışı
COMMUNITY_DISCONNECT_DIALOG	Bu listedeki diğer kişilere çevrimdışı görüneceksin.
COMMUNITY_ERROR	Bilinmeyen
COMMUNITY_FAVORITE_BUTTON	Favorilere
COMMUNITY_GUILD_INFO	Lonca Bilgisi
COMMUNITY_HAS_NO_GUILD	Şu anda bir loncada değilsin.
COMMUNITY_HAS_NO_GUILD_2	Mevcut loncalara göz at.
COMMUNITY_LEFT_SEAT	AFK
COMMUNITY_LEFT_SEAT_DIALOG	Bu listedeki diğer kişilere AFK olarak görüneceksin.
AFK iken diğer oyuncuların mesajlarını
ve grup davetlerini kaçırabilirsin.
COMMUNITY_MAIN_TAB_CONFIG	Ayar
COMMUNITY_MAIN_TAB_FRIEND	Arkadaş
COMMUNITY_MAIN_TAB_GUILD	Lonca
COMMUNITY_MAIN_TITLE	Topluluk
COMMUNITY_MAP_INFO	Konum: %s
COMMUNITY_MESSENGER_BLOCK_DELETE	Engellemeyi kaldır
COMMUNITY_MESSENGER_FRIEND_DELETE	Sil
COMMUNITY_MESSENGER_SUB_TAB_BLOCK	Engelleme listesi
COMMUNITY_MESSENGER_SUB_TAB_FRIEND	Arkadaş listesi
COMMUNITY_MESSENGER_SUB_TAB_GUILD_MEMBER	Lonca Üyeleri
COMMUNITY_MESSENGER_SUB_TAB_REQUEST	Arkadaşlık istekleri
COMMUNITY_MESSENGER_WHISPER	Fısıltı
COMMUNITY_MOUSE_OVER_IN_STATUS_MESSAGE_BUTTON	Mesaj yazmak için tıkla.
COMMUNITY_MY_STATUS_MESSAGE	Durum mesajı
COMMUNITY_NO_GUILD	Lonca yok
COMMUNITY_PARTY_INVITE	Grup daveti
COMMUNITY_REFUSE	Reddet
COMMUNITY_SHOP_OPEN	Market kullanılıyor
COMMUNITY_STATUS_MESSAGE_GUILD_TEXT	Burada mesaj yazabilirsin.
COMMUNITY_TOOLTIP_LOVE_POINT	Sevgi Puanı: %d %%
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluştur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	INT
CREATE_STAT_RESET	Sıfırla
CREATE_WOMAN	Kadın
CUBE_INFO_TITLE	Arındırma Kılavuzu
CUBE_RENEWAL_BELT_IMPROVE	Şansı artır
CUBE_RENEWAL_TITLE	Arındırma
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arındırma Paneli
CURRENT_POINT	Mevcut Puan: %s
CZ_REWARD_WINDOW_TITLE	Zodyak Tapınağı
DO_CHANGE_ATTR	Uygula
DO_REFINE	Arındır
DRAGONSOUL_ACTIVATE	Etkinleştir
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Mitsi ejderha taşı için bonus dönüşümü
DRAGONSOUL_PAGE_BUTTON_1	İşlenmemiş
